title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
La misión,Harany,Latin,,,,,,,,,,,,,,,,,
Recuerdos,Harany,Latin,,,,,,,,,,,,,,,,,
Es para tí,Harany,Latin,,,,,,,,,,,,,,,,,
Vientos del Sur,Harany,Latin,,,,,,,,,,,,,,,,,
El cóndor pasa,Harany,Latin,,,,,,,,,,,,,,,,,
Encuentros,Harany,Latin,,,,,,,,,,,,,,,,,
Moliendo café,Harany,Latin,,,,,,,,,,,,,,,,,
La gota fría,Harany,Latin,,,,,,,,,,,,,,,,,
Carnavalito,Harany,Latin,,,,,,,,,,,,,,,,,
El picaflor,Harany,Latin,,,,,,,,,,,,,,,,,
Recuerdo,Harany,Latin,,,,,,,,,,,,,,,,,
Yo vendo unos ojos negros,Harany,Latin,,,,,,,,,,,,,,,,,
Pájaro campana,Harany,Latin,,,,,,,,,,,,,,,,,
La Danza del Maíz,Harany,Latin,,,,,,,,,,,,,,,,,
Recuerdo azul,Harany,Latin,,,,,,,,,,,,,,,,,
Anciedad,Harany,Latin,,,,,,,,,,,,,,,,,
Pájaro chogüí,Harany,Latin,,,,,,,,,,,,,,,,,
Pepe el bailarín,Harany,Latin,,,,,,,,,,,,,,,,,
Me recordarás,Harany,Latin,,,,,,,,,,,,,,,,,
Ángela Rosa,Harany,Latin,,,,,,,,,,,,,,,,,
Im A Man,Hard Luck Blues Band,EU,,https://open.spotify.com/track/5sYcLfZMOjYZwWQRCjCRiq,,,,,,,,,,,,,,,
Written All Over Me,Hard Luck Blues Band,EU,,https://open.spotify.com/track/69anmaGpy6CQ3GyPev3FbS,,,,,,,,,,,,,,,
Unfinished business,Hard Luck Blues Band,EU,,https://open.spotify.com/track/3cXQtQAo4s5BZUnXxdFgeZ,,,,,,,,,,,,,,,
Dont You Worry,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1l2VQ0ZlCIi55LCwXHYlaf,,,,,,,,,,,,,,,
Blues Of The Night,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1Fo8L0fo1RuZkh9CEL8nyU,,,,,,,,,,,,,,,
No Time For Talking,Hard Luck Blues Band,EU,,https://open.spotify.com/track/25ToaZkaX3ne53ToLuZejZ,,,,,,,,,,,,,,,
Bobby sox blues,Hard Luck Blues Band,EU,,https://open.spotify.com/track/0xB4mC2cH30JKqB0N5kx9N,,,,,,,,,,,,,,,
You was wrong,Hard Luck Blues Band,EU,,https://open.spotify.com/track/5YqjEQxN6yq5nTJTBTXi8W,,,,,,,,,,,,,,,
Hard Luck,Hard Luck Blues Band,EU,,https://open.spotify.com/track/24yDDQgVhePciFFHJfSuST,,,,,,,,,,,,,,,
I'm a Rattlesnaking Daddy,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1HC7pJdH5CIlW71e4Et9D3,,,,,,,,,,,,,,,
Hot Time in the Old Town Tonight,Hard Luck Blues Band,EU,,https://open.spotify.com/track/11XXUjoA4yniw5ycq4LwAm,,,,,,,,,,,,,,,
B-bone shuffle,Hard Luck Blues Band,EU,,https://open.spotify.com/track/32cPN72mOmS1joEtJCJSfN,,,,,,,,,,,,,,,
Sorry Day,Hard Luck Blues Band,EU,,https://open.spotify.com/track/6sse32j8uBxSru0oRvZNRj,,,,,,,,,,,,,,,
Buddy Bolden,Hard Luck Blues Band,EU,,https://open.spotify.com/track/2trIwW3yV1rNeJt71ssOm9,,,,,,,,,,,,,,,
I'm So Sorry,Hard Luck Blues Band,EU,,https://open.spotify.com/track/7EOrhdpVvtaGxz9BdKWNeV,,,,,,,,,,,,,,,
Howlin' for My Darling,Hard Luck Blues Band,EU,,https://open.spotify.com/track/2pGVAhLC7avPMARdU6KImr,,,,,,,,,,,,,,,
West Helena Woman,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Once Again,Hard Luck Blues Band,EU,,https://open.spotify.com/track/5J48Y3JJd5UzIYr8pNgcn0,,,,,,,,,,,,,,,
Thats What Its All About,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1b55gC9WfvXCUyN2TaUUDQ,,,,,,,,,,,,,,,
Pull Yourself Together,Hard Luck Blues Band,EU,,https://open.spotify.com/track/19xAL1qqVq9JxJsKauj2w7,,,,,,,,,,,,,,,
West Helena Woman - Hard Luck Blues Band,Hard Luck Blues Band,EU,,https://open.spotify.com/track/6QbbT0mMoov1IqjElYqLaF,,,,,,,,,,,,,,,
Daddys Gonna Take You Home,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1KRQdyC21fECVG66Ueo1E2,,,,,,,,,,,,,,,
Thats It,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1msZaIX7b3HltzT0McKyk2,,,,,,,,,,,,,,,
Baby how come,Hard Luck Blues Band,EU,,https://open.spotify.com/track/0DyRe2gBGhTPrJkfISZrun,,,,,,,,,,,,,,,
Sweet Talkin' Child,Hard Luck Blues Band,EU,,https://open.spotify.com/track/1XBp6NuIiwEa5164envUeD,,,,,,,,,,,,,,,
Lets do the thing,Hard Luck Blues Band,EU,,https://open.spotify.com/track/5IJ7RdYnZe6Q5iPSWx8p8E,,,,,,,,,,,,,,,
It's Too Late Brother,Hard Luck Blues Band,EU,,https://open.spotify.com/track/7nIIprA2Y7g6RwHFcODe9s,,,,,,,,,,,,,,,
One more kiss,Hard Luck Blues Band,EU,,https://open.spotify.com/track/0xNsJKfSumoNrMsoZoRzhb,,,,,,,,,,,,,,,
That's what it's all about,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Daddy's gonna take you home,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Don't you worry,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
I'm a man,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Blues Train,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
That's It!,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Let's Do The Thing,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Rattlesnakin' Daddy,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
I`m A man,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
That`s It,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Unfinished Busines,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
daddy`s Gonna Take you home,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
That`s What It`s All About,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Don`t You worry,Hard Luck Blues Band,EU,,,,,,,,,,,,,,,,,
Hard to Beat,Hard-Fi,USUK,https://www.youtube.com/watch?v=ch6qy0qdifc,https://open.spotify.com/track/5PZK7nZBsKjSkXDszKrJ1W,,2771346.0,19063.0,,,,,,,,,,,,
Cash Machine,Hard-Fi,USUK,https://www.youtube.com/watch?v=-f8AgWOpNt8,https://open.spotify.com/track/0pUZzSsvCyNz35qI76DAAf,,1227374.0,9843.0,,,,,,,,,,,,
Living for the Weekend,Hard-Fi,USUK,https://www.youtube.com/watch?v=fGardUiWjR4,https://open.spotify.com/track/0RykWOT2uGXJmOyrHObwK4,,2063951.0,12144.0,,,,,,,,,,,,
Suburban Knights,Hard-Fi,USUK,https://www.youtube.com/watch?v=lMGntwJobNc,https://open.spotify.com/track/04GFY2dLW03V5J5hXiqWyK,,635021.0,4220.0,,,,,,,,,,,,
Tied Up Too Tight,Hard-Fi,USUK,https://www.youtube.com/watch?v=nyoRzUUXEJY,https://open.spotify.com/track/1KWgVPLk5CBu0vFiBy0g5I,,373752.0,2610.0,,,,,,,,,,,,
Gotta Reason,Hard-Fi,USUK,https://www.youtube.com/watch?v=L6PSuxWt1t0,https://open.spotify.com/track/22dmXSlONc3t4ZsYVZL0c8,,2586.0,11.0,,,,,,,,,,,,
Better Do Better,Hard-Fi,USUK,https://www.youtube.com/watch?v=4DXNXJmhv8I,https://open.spotify.com/track/1YRahLoAPuGTi62r2zZ1Oh,,9201.0,75.0,,,,,,,,,,,,
Stars of CCTV,Hard-Fi,USUK,https://www.youtube.com/watch?v=8OTPPX26uzs,https://open.spotify.com/track/0Skp2yDI6XxrLcHWdWwW2o,,63260.0,723.0,,,,,,,,,,,,
Unnecessary Trouble,Hard-Fi,USUK,https://www.youtube.com/watch?v=wbNOkNyi_-0,https://open.spotify.com/track/086uQmVvaZqiRayyTL2YCv,,46691.0,420.0,,,,,,,,,,,,
Can't Get Along (Without You),Hard-Fi,USUK,https://www.youtube.com/watch?v=Ka9SUFIU-p0,https://open.spotify.com/track/0KVN8ydzEvWwBsCTQxedeb,,3564.0,17.0,,,,,,,,,,,,
Feltham Is Singing Out,Hard-Fi,USUK,https://www.youtube.com/watch?v=B2KSj__12hU,https://open.spotify.com/track/4fvrxYPrP7mlx445UlV6bO,,38921.0,568.0,,,,,,,,,,,,
Middle Eastern Holiday,Hard-Fi,USUK,https://www.youtube.com/watch?v=aIjZMJOEQRA,https://open.spotify.com/track/314Ke3nGYfFy4cOPGXar8N,,40516.0,392.0,,,,,,,,,,,,
Move on Now,Hard-Fi,USUK,https://www.youtube.com/watch?v=pnDaDr8TjLg,https://open.spotify.com/track/4VD1pUlTwJOyhjc05kBTT1,,62019.0,607.0,,,,,,,,,,,,
Watch Me Fall Apart,Hard-Fi,USUK,https://www.youtube.com/watch?v=cMC4kNAgluk,https://open.spotify.com/track/20pnN1no9iZvk6rPI9dUr8,,,,,,,,,,,,,,,
I Shall Overcome,Hard-Fi,USUK,https://www.youtube.com/watch?v=CPU4MwZtHG0,https://open.spotify.com/track/2BqDIj1QU0Ust5GbdLtIcW,,47260.0,212.0,,,,,,,,,,,,
Tonight,Hard-Fi,USUK,https://www.youtube.com/watch?v=85BEdWBldvc,https://open.spotify.com/track/1nMg5A62FiWBSINldwsXvh,,194557.0,649.0,,,,,,,,,,,,
Television,Hard-Fi,USUK,https://www.youtube.com/watch?v=FCe5TXZO3kE,https://open.spotify.com/track/0rEHwbZKXeDLGRVaUOBPoG,,586.0,2.0,,,,,,,,,,,,
Help Me Please,Hard-Fi,USUK,https://www.youtube.com/watch?v=-Z6NIJ_XonQ,https://open.spotify.com/track/0RbJRfG4sV0cBmgHoPNJSi,,6748.0,148.0,,,,,,,,,,,,
Little Angel,Hard-Fi,USUK,https://www.youtube.com/watch?v=8adt5NYAgt8,https://open.spotify.com/track/18Z6fnmuCq3fdXJrbRVaO0,,3198.0,6.0,,,,,,,,,,,,
I Close My Eyes,Hard-Fi,USUK,https://www.youtube.com/watch?v=X5-E4cJcy00,https://open.spotify.com/track/1hfo4prEsOYps0pLa3sFU4,,1509.0,33.0,,,,,,,,,,,,
