tle,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
メーベル (おさむらいさんver.) [feat. そらる],おさむらいさん,JP,,,,,,,,,,,,,,,,,
Dream map(Yume Chizu),おさむらいさん,JP,,,,,,,,,,,,,,,,,
だんご大家族　「CLANNAD」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
1. 恋愛サーキュレーション　「化物語」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
10.さよならミッドナイト,おさむらいさん,JP,,,,,,,,,,,,,,,,,
兽娘动物园op - 【武士桑】「欢迎来到加帕利动物园」【木吉他彈奏】,おさむらいさん,JP,,,,,,,,,,,,,,,,,
兽娘动物园op - 【武士桑】「欢迎来到加帕利动物园」【木吉他彈奏】,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Dreamless Dreams (Osamuraisan ver.),おさむらいさん,JP,,,,,,,,,,,,,,,,,
【武士桑】「Thinking Out Loud」【木吉他彈奏】（Cover Ed Sheeran）,おさむらいさん,JP,,,,,,,,,,,,,,,,,
風の憧憬　「クロノ・トリガー」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Senkou,おさむらいさん,JP,,,,,,,,,,,,,,,,,
サマータイムレコード - on Guitar,おさむらいさん,JP,,,,,,,,,,,,,,,,,
シャルル - on Guitar,おさむらいさん,JP,,,,,,,,,,,,,,,,,
アイロニ - すこっぷ　　Off vocal,おさむらいさん,JP,,,,,,,,,,,,,,,,,
聖剣伝説3より 「Meridian child」,おさむらいさん,JP,,,,,,,,,,,,,,,,,
工作细胞ED「CheerS」【木吉他彈奏】（Cover ClariS）,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Asunoyozora shokai han(on Guitar),おさむらいさん,JP,,,,,,,,,,,,,,,,,
とーふの歌　「バーガーバーガー」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
StarCrew feat. りぶ,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Risky Game,おさむらいさん,JP,,,,,,,,,,,,,,,,,
ドリームレスドリームス (おさむらいさんver.),おさむらいさん,JP,,,,,,,,,,,,,,,,,
クリスマス・イブ,おさむらいさん,JP,,,,,,,,,,,,,,,,,
戦場のメリークリスマス,おさむらいさん,JP,,,,,,,,,,,,,,,,,
風に遊ばれて　from「魔法陣グルグル」,おさむらいさん,JP,,,,,,,,,,,,,,,,,
地球最後の告白を - kemu　　Off vocal,おさむらいさん,JP,,,,,,,,,,,,,,,,,
11.泣キ虫カレシ instrumental ver.,おさむらいさん,JP,,,,,,,,,,,,,,,,,
しわ - buzzG　　Off vocal,おさむらいさん,JP,,,,,,,,,,,,,,,,,
抱きしめたい,おさむらいさん,JP,,,,,,,,,,,,,,,,,
「ハッピーシンセサイザ」アコギで弾いてみた,おさむらいさん,JP,,,,,,,,,,,,,,,,,
夜の向日葵　「素晴らしき日々～不連続存在～」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Promised land　「Phantom of Inferno」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
夏影　「Air」より,おさむらいさん,JP,,,,,,,,,,,,,,,,,
零れ落ちる前に　作曲 おさむらいさん,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Renai Circulation,おさむらいさん,JP,,,,,,,,,,,,,,,,,
エピローグ〜親しき仲間へ (solo),おさむらいさん,JP,,,,,,,,,,,,,,,,,
恋は戦争（アコギver.）,おさむらいさん,JP,,,,,,,,,,,,,,,,,
天ノ弱 feat. halyosy,おさむらいさん,JP,,,,,,,,,,,,,,,,,
「シザーハンズ」アコギでロックしてみた,おさむらいさん,JP,,,,,,,,,,,,,,,,,
ボカロ25曲をアコギとかでアレンジしてみた,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Lynne,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Kagehibana,おさむらいさん,JP,,,,,,,,,,,,,,,,,
如月アテンション feat. 鹿乃,おさむらいさん,JP,,,,,,,,,,,,,,,,,
magnet feat. コニー×ゆう十,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Mabel - Osamuraisan ver.,おさむらいさん,JP,,,,,,,,,,,,,,,,,
ハロ／ハワユ feat. ゆう十,おさむらいさん,JP,,,,,,,,,,,,,,,,,
しわ feat. しゃむおん,おさむらいさん,JP,,,,,,,,,,,,,,,,,
地球最後の告白を feat. nero,おさむらいさん,JP,,,,,,,,,,,,,,,,,
東京事変「透明人間」,おさむらいさん,JP,,,,,,,,,,,,,,,,,
アイロニ feat. that,おさむらいさん,JP,,,,,,,,,,,,,,,,,
おさむらいさんせれくしょんvol.2～vocaloid medley～,おさむらいさん,JP,,,,,,,,,,,,,,,,,
天ノ弱 / 164 feat. halyosy,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Summertime Record,おさむらいさん,JP,,,,,,,,,,,,,,,,,
「ワールズエンド・ダンスホール」アコギでロックしてみた,おさむらいさん,JP,,,,,,,,,,,,,,,,,
「メルト」をガットギターとかでアレンジしてみた,おさむらいさん,JP,,,,,,,,,,,,,,,,,
空想森林,おさむらいさん,JP,,,,,,,,,,,,,,,,,
ジザーハンズ Scissorhands,おさむらいさん,JP,,,,,,,,,,,,,,,,,
Ephemeral Desire,おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目醒めしは,おだちえり,JP,,,,,,,,,,,,,,,,,
移り気少女奇譚,おだちえり,JP,,,,,,,,,,,,,,,,,
その剣は誰が為に,おだちえり,JP,,,,,,,,,,,,,,,,,
堕チル,おだちえり,JP,,,,,,,,,,,,,,,,,
honey,おだちえり,JP,,,,,,,,,,,,,,,,,
名前の無い魚,おだちえり,JP,,,,,,,,,,,,,,,,,
ori-hime,おだちえり,JP,,,,,,,,,,,,,,,,,
水の色,おだちえり,JP,,,,,,,,,,,,,,,,,
ハイボール,おだちえり,JP,,,,,,,,,,,,,,,,,
pop up to-star,おだちえり,JP,,,,,,,,,,,,,,,,,
A☆naked,おだちえり,JP,,,,,,,,,,,,,,,,,
トニーさんの脱力ラジオ,おだちえり,JP,,,,,,,,,,,,,,,,,
なにもない,おだちえり,JP,,,,,,,,,,,,,,,,,
Over The Sky,おだちえり,JP,,,,,,,,,,,,,,,,,
カゲボウシ,おだちえり,JP,,,,,,,,,,,,,,,,,
記憶の涙,おだちえり,JP,,,,,,,,,,,,,,,,,
明日晴れたらいいな,おだちえり,JP,,,,,,,,,,,,,,,,,
缶けり,おだちえり,JP,,,,,,,,,,,,,,,,,
チェリーキャンディー,おだちえり,JP,,,,,,,,,,,,,,,,,
nachu☆nachu,おだちえり,JP,,,,,,,,,,,,,,,,,
ハルムシ,おだちえり,JP,,,,,,,,,,,,,,,,,
B.B.B（Boat On Bubble In Bath）,おだちえり,JP,,,,,,,,,,,,,,,,,
明日、君と,おだちえり,JP,,,,,,,,,,,,,,,,,
揺れるココロ～恋と希望のメトロノーム～,おだちえり,JP,,,,,,,,,,,,,,,,,
Magi Night,おだちえり,JP,,,,,,,,,,,,,,,,,
喪失の雪夜,おだちえり,JP,,,,,,,,,,,,,,,,,
ラヴタイトルマッチ,おだちえり,JP,,,,,,,,,,,,,,,,,
ツキヤサケベヤ,おだちえり,JP,,,,,,,,,,,,,,,,,
移り気少女気譲,おだちえり,JP,,,,,,,,,,,,,,,,,
冬飛沫,おだちえり,JP,,,,,,,,,,,,,,,,,
Sweet Home,おだちえり,JP,,,,,,,,,,,,,,,,,
姉胎ED,おだちえり,JP,,,,,,,,,,,,,,,,,
Mugen Renga,おだちえり,JP,,,,,,,,,,,,,,,,,
-Yuu Yami ni me Same Shiha-,おだちえり,JP,,,,,,,,,,,,,,,,,
14 14 14 幽闇に目醒めしは,おだちえり,JP,,,,,,,,,,,,,,,,,
名前のない魚,おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目醒めしは (在幽暗中苏醒),おだちえり,JP,,,,,,,,,,,,,,,,,
【眠れる恐怖～Sleeping Terror 】,おだちえり,JP,,,,,,,,,,,,,,,,,
移り氣少女奇譚,おだちえり,JP,,,,,,,,,,,,,,,,,
もう一人の君へ,おだちえり,JP,,,,,,,,,,,,,,,,,
無限連歌,おだちえり,JP,,,,,,,,,,,,,,,,,
幽暗に目醒めしは,おだちえり,JP,,,,,,,,,,,,,,,,,
【セブンスヘブンMAXION×眠れる恐怖～Sleeping Terror 】−幽闇に目醒めしは−,おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目覚めしは,おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目醒めしは  (眠れる恐怖 ~Sleeping Terror),おだちえり,JP,,,,,,,,,,,,,,,,,
"移り気少女奇譚  (少女綺想曲 ~Capriccio, アリスマエステラ)",おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目醒めしは－,おだちえり,JP,,,,,,,,,,,,,,,,,
−幽闇に目醒めしは−【原曲：眠れる恐怖 ～ Sleeping Terror 】,おだちえり,JP,,,,,,,,,,,,,,,,,
ソラマメ(demo),おだちえり,JP,,,,,,,,,,,,,,,,,
A☆Naked (short ver),おだちえり,JP,,,,,,,,,,,,,,,,,
移り気少女奇谭,おだちえり,JP,,,,,,,,,,,,,,,,,
each-demo,おだちえり,JP,,,,,,,,,,,,,,,,,
幽闇に目醒めしは 【原曲：眠れる恐怖～Sleeping Terror 】,おだちえり,JP,,,,,,,,,,,,,,,,,
(三 サニー)Ephemeral Desire,おだちえり,JP,,,,,,,,,,,,,,,,,
移り気少女奇譚【原曲：少女綺想曲 ～ Capriccio】,おだちえり,JP,,,,,,,,,,,,,,,,,
Ephemeral Desire【原曲：サニールチルフレクション】,おだちえり,JP,,,,,,,,,,,,,,,,,
b.b.b( boat on bubble in bath),おだちえり,JP,,,,,,,,,,,,,,,,,
Over_The_Sky,おだちえり,JP,,,,,,,,,,,,,,,,,
おだっちぇ＠ネバーランド,おだちえり,JP,,,,,,,,,,,,,,,,,
Ephemeral Desire(原曲：サニールチルフレクション),おだちえり,JP,,,,,,,,,,,,,,,,,
Ephemeral Desire (CHAOS),おだちえり,JP,,,,,,,,,,,,,,,,,
その剣は誰が為に(原曲：六十年目の東方裁判　～ Fate of Sixty Years),おだちえり,JP,,,,,,,,,,,,,,,,,
(CHAOS)Ephemeral Desire,おだちえり,JP,,,,,,,,,,,,,,,,,
(東方SEVENTH-HEAVEN MAXION)幽闇に目醒めしは,おだちえり,JP,,,,,,,,,,,,,,,,,
Funny Flower(ショート),おだちえり,JP,,,,,,,,,,,,,,,,,
着せ替え人形,おだちえり,JP,,,,,,,,,,,,,,,,,
[silence],おだちえり,JP,,,,,,,,,,,,,,,,,
[トニーさんの脱力ラジオ],おだちえり,JP,,,,,,,,,,,,,,,,,
ネオンBOYS,おとぎ話,JP,https://www.youtube.com/watch?v=3_FTYj55GHo,,,119469,848,,,,,,,,,,,,
SMILE,おとぎ話,JP,https://www.youtube.com/watch?v=_8HCE88IvKs,,,235299,1218,,,,,,,,,,,,
Boys Don't Cry,おとぎ話,JP,https://www.youtube.com/watch?v=YvJmQ1-3tRc,,,230611,763,,,,,,,,,,,,
FUN CLUB,おとぎ話,JP,,,,,,,,,,,,,,,,,
パレード,おとぎ話,JP,,,,,,,,,,,,,,,,,
おとぎ話の「愛」のテーマ,おとぎ話,JP,,,,,,,,,,,,,,,,,
Kids,おとぎ話,JP,,,,,,,,,,,,,,,,,
おとぎ話の空,おとぎ話,JP,,,,,,,,,,,,,,,,,
Love,おとぎ話,JP,,,,,,,,,,,,,,,,,
クラッシュ,おとぎ話,JP,,,,,,,,,,,,,,,,,
クラシック,おとぎ話,JP,,,,,,,,,,,,,,,,,
理由なき反抗,おとぎ話,JP,,,,,,,,,,,,,,,,,
赤へ飛び込め,おとぎ話,JP,,,,,,,,,,,,,,,,,
Blue Blue,おとぎ話,JP,,,,,,,,,,,,,,,,,
Nightswimming,おとぎ話,JP,,,,,,,,,,,,,,,,,
FESTIVAL EXPRESS,おとぎ話,JP,,,,,,,,,,,,,,,,,
俺達に明日は無い,おとぎ話,JP,,,,,,,,,,,,,,,,,
アゲイン,おとぎ話,JP,,,,,,,,,,,,,,,,,
また､よろしく,おとぎ話,JP,,,,,,,,,,,,,,,,,
とびらをあける,おとぎ話,JP,,,,,,,,,,,,,,,,,
New Song,おとぎ話,JP,,,,,,,,,,,,,,,,,
アテなし,おとぎ話,JP,,,,,,,,,,,,,,,,,
WHITE SONG,おとぎ話,JP,,,,,,,,,,,,,,,,,
Blank Pop!!!!(空白の時代を塗り潰せ!),おとぎ話,JP,,,,,,,,,,,,,,,,,
COSMOS,おとぎ話,JP,https://www.youtube.com/watch?v=binndMiHcyg,,,574681,4791,,,,,,,,,,,,
ファンファーレ,おとぎ話,JP,,,,,,,,,,,,,,,,,
青春,おとぎ話,JP,https://www.youtube.com/watch?v=x1YtB6DM1eo,,,3032,24,,,,,,,,,,,,
妖精,おとぎ話,JP,,,,,,,,,,,,,,,,,
コトバとコトバ,おとぎ話,JP,,,,,,,,,,,,,,,,,
GALAXY,おとぎ話,JP,,,,,,,,,,,,,,,,,
E.T.M.,おとぎ話,JP,,,,,,,,,,,,,,,,,
I LIKE SPORTS,おとぎ話,JP,,,,,,,,,,,,,,,,,
ハートのうた,おとぎ話,JP,,,,,,,,,,,,,,,,,
superstar,おとぎ話,JP,,,,,,,,,,,,,,,,,
こどものブギー,おとぎ話,JP,,,,,,,,,,,,,,,,,
深夜高速,おとぎ話,JP,,,,,,,,,,,,,,,,,
BOY'S BEAT,おとぎ話,JP,,,,,,,,,,,,,,,,,
ロードムービー,おとぎ話,JP,,,,,,,,,,,,,,,,,
なきだしそう,おとぎ話,JP,,,,,,,,,,,,,,,,,
少年,おとぎ話,JP,,,,,,,,,,,,,,,,,
When You Wish Upon A Star,おとぎ話,JP,,,,,,,,,,,,,,,,,
ハローグッバイ,おとぎ話,JP,,,,,,,,,,,,,,,,,
光の涙,おとぎ話,JP,,,,,,,,,,,,,,,,,
FLOWER,おとぎ話,JP,,,,,,,,,,,,,,,,,
シンデレラ,おとぎ話,JP,,,,,,,,,,,,,,,,,
When You Wish Upon a Star (Japanese Version),おとぎ話,JP,,,,,,,,,,,,,,,,,
カルチャークラブ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ANIMAL,おとぎ話,JP,,,,,,,,,,,,,,,,,
きゅーと研究会,おとぎ話,JP,,,,,,,,,,,,,,,,,
HOPE,おとぎ話,JP,,,,,,,,,,,,,,,,,
運命,おとぎ話,JP,,,,,,,,,,,,,,,,,
科学くん,おとぎ話,JP,,,,,,,,,,,,,,,,,
遺伝子,おとぎ話,JP,,,,,,,,,,,,,,,,,
Thank You,おとぎ話,JP,,,,,,,,,,,,,,,,,
FRIENDS,おとぎ話,JP,,,,,,,,,,,,,,,,,
告白ジャム,おとぎ話,JP,,,,,,,,,,,,,,,,,
STAR SHIP,おとぎ話,JP,,,,,,,,,,,,,,,,,
AURORA,おとぎ話,JP,,,,,,,,,,,,,,,,,
フランス,おとぎ話,JP,,,,,,,,,,,,,,,,,
ピカピカ,おとぎ話,JP,,,,,,,,,,,,,,,,,
MOTHER,おとぎ話,JP,,,,,,,,,,,,,,,,,
カンフー,おとぎ話,JP,,,,,,,,,,,,,,,,,
輝き,おとぎ話,JP,,,,,,,,,,,,,,,,,
綺麗,おとぎ話,JP,,,,,,,,,,,,,,,,,
おとぎ話みたいねと笑ってばかりの君が,おとぎ話,JP,,,,,,,,,,,,,,,,,
未来の乗り物,おとぎ話,JP,,,,,,,,,,,,,,,,,
BlS,おとぎ話,JP,,,,,,,,,,,,,,,,,
思春期,おとぎ話,JP,,,,,,,,,,,,,,,,,
NO SOS,おとぎ話,JP,,,,,,,,,,,,,,,,,
You,おとぎ話,JP,,,,,,,,,,,,,,,,,
This is just a Healing song,おとぎ話,JP,,,,,,,,,,,,,,,,,
ピーターラビット,おとぎ話,JP,https://www.youtube.com/watch?v=AK9MuSrETQU,,,65952,226,,,,,,,,,,,,
History,おとぎ話,JP,,,,,,,,,,,,,,,,,
鍵,おとぎ話,JP,,,,,,,,,,,,,,,,,
AMAZING LIGHT,おとぎ話,JP,,,,,,,,,,,,,,,,,
めぐり逢えたら,おとぎ話,JP,,,,,,,,,,,,,,,,,
君にあげるよ,おとぎ話,JP,,,,,,,,,,,,,,,,,
逃げんな,おとぎ話,JP,,,,,,,,,,,,,,,,,
空想からの革命,おとぎ話,JP,,,,,,,,,,,,,,,,,
ロボットの夢,おとぎ話,JP,,,,,,,,,,,,,,,,,
Chanmery.,おとぎ話,JP,,,,,,,,,,,,,,,,,
AND YOUNG,おとぎ話,JP,,,,,,,,,,,,,,,,,
weekend,おとぎ話,JP,,,,,,,,,,,,,,,,,
Gang Style No. 1,おとぎ話,JP,,,,,,,,,,,,,,,,,
HOKORI,おとぎ話,JP,,,,,,,,,,,,,,,,,
灯せ!,おとぎ話,JP,,,,,,,,,,,,,,,,,
火星,おとぎ話,JP,,,,,,,,,,,,,,,,,
SUN (12月),おとぎ話,JP,,,,,,,,,,,,,,,,,
Jealous Love,おとぎ話,JP,,,,,,,,,,,,,,,,,
また、よろしく,おとぎ話,JP,,,,,,,,,,,,,,,,,
セレナーデ,おとぎ話,JP,,,,,,,,,,,,,,,,,
Satellite League,おとぎ話,JP,,,,,,,,,,,,,,,,,
1981,おとぎ話,JP,,,,,,,,,,,,,,,,,
ネムイ x 眠くない,おとぎ話,JP,,,,,,,,,,,,,,,,,
世界を笑うな,おとぎ話,JP,,,,,,,,,,,,,,,,,
小悪魔ソング #2,おとぎ話,JP,,,,,,,,,,,,,,,,,
OTOGIVANASHI WILL NEVER DIE!!!!!!!!,おとぎ話,JP,,,,,,,,,,,,,,,,,
HOME WORK,おとぎ話,JP,,,,,,,,,,,,,,,,,
TEENAGE KIXX,おとぎ話,JP,,,,,,,,,,,,,,,,,
FALLING,おとぎ話,JP,,,,,,,,,,,,,,,,,
ONLY LOVERS,おとぎ話,JP,https://www.youtube.com/watch?v=EOSQvnNdbKw,,,27450,319,,,,,,,,,,,,
DREAM LIFE,おとぎ話,JP,,,,,,,,,,,,,,,,,
天国をぶっとばせ,おとぎ話,JP,,,,,,,,,,,,,,,,,
蒼い影,おとぎ話,JP,,,,,,,,,,,,,,,,,
YUME,おとぎ話,JP,,,,,,,,,,,,,,,,,
ブルーに殺された夢,おとぎ話,JP,,,,,,,,,,,,,,,,,
夜明けのバラード,おとぎ話,JP,,,,,,,,,,,,,,,,,
GANG STYLE NO.1,おとぎ話,JP,,,,,,,,,,,,,,,,,
DEAR,おとぎ話,JP,,,,,,,,,,,,,,,,,
ROLLING,おとぎ話,JP,,,,,,,,,,,,,,,,,
NEW MOON,おとぎ話,JP,,,,,,,,,,,,,,,,,
HELP,おとぎ話,JP,,,,,,,,,,,,,,,,,
HEAD,おとぎ話,JP,,,,,,,,,,,,,,,,,
SMILE(AGAIN),おとぎ話,JP,,,,,,,,,,,,,,,,,
太陽の讃歌,おとぎ話,JP,,,,,,,,,,,,,,,,,
Boys don't cry　,おとぎ話,JP,,,,,,,,,,,,,,,,,
BREATH,おとぎ話,JP,,,,,,,,,,,,,,,,,
ふしぎソング,おとぎ話,JP,,,,,,,,,,,,,,,,,
12月の雨の日,おとぎ話,JP,,,,,,,,,,,,,,,,,
AGE,おとぎ話,JP,,,,,,,,,,,,,,,,,
魔法は君の中に,おとぎ話,JP,,,,,,,,,,,,,,,,,
さよなら、またね。,おとぎ話,JP,,,,,,,,,,,,,,,,,
逆転,おとぎ話,JP,,,,,,,,,,,,,,,,,
泣きだしそう,おとぎ話,JP,,,,,,,,,,,,,,,,,
サンタさん,おとぎ話,JP,,,,,,,,,,,,,,,,,
M,おとぎ話,JP,,,,,,,,,,,,,,,,,
LOST PLANET,おとぎ話,JP,,,,,,,,,,,,,,,,,
NEON BOYS(FUZZ),おとぎ話,JP,,,,,,,,,,,,,,,,,
少年少女,おとぎ話,JP,,,,,,,,,,,,,,,,,
APRIL FOOL,おとぎ話,JP,,,,,,,,,,,,,,,,,
DAYS,おとぎ話,JP,,,,,,,,,,,,,,,,,
REALIZE,おとぎ話,JP,,,,,,,,,,,,,,,,,
SCENE,おとぎ話,JP,,,,,,,,,,,,,,,,,
純真,おとぎ話,JP,,,,,,,,,,,,,,,,,
永遠,おとぎ話,JP,,,,,,,,,,,,,,,,,
エースをねらえ,おとぎ話,JP,,,,,,,,,,,,,,,,,
GAZE,おとぎ話,JP,,,,,,,,,,,,,,,,,
明日に向かって撃て,おとぎ話,JP,,,,,,,,,,,,,,,,,
EARTHBOUND,おとぎ話,JP,,,,,,,,,,,,,,,,,
BYE,おとぎ話,JP,,,,,,,,,,,,,,,,,
BE STRONG,おとぎ話,JP,,,,,,,,,,,,,,,,,
NOTICED IT,おとぎ話,JP,,,,,,,,,,,,,,,,,
RINNE,おとぎ話,JP,,,,,,,,,,,,,,,,,
ESPERS,おとぎ話,JP,,,,,,,,,,,,,,,,,
大脱走,おとぎ話,JP,,,,,,,,,,,,,,,,,
When You Wish Upon a Star (Japanese Version) [Pinocchio],おとぎ話,JP,,,,,,,,,,,,,,,,,
素顔のままで,おとぎ話,JP,,,,,,,,,,,,,,,,,
少年(FEEDBACK BOYS),おとぎ話,JP,,,,,,,,,,,,,,,,,
BITTERSWEET,おとぎ話,JP,,,,,,,,,,,,,,,,,
ファンファーレサーカス,おとぎ話,JP,,,,,,,,,,,,,,,,,
week end,おとぎ話,JP,,,,,,,,,,,,,,,,,
追憶に別れを,おとぎ話,JP,,,,,,,,,,,,,,,,,
LOVE CRY,おとぎ話,JP,,,,,,,,,,,,,,,,,
VIOLET,おとぎ話,JP,,,,,,,,,,,,,,,,,
NIGHTSWIMMING　　,おとぎ話,JP,,,,,,,,,,,,,,,,,
new song　　,おとぎ話,JP,,,,,,,,,,,,,,,,,
Chanmery,おとぎ話,JP,,,,,,,,,,,,,,,,,
VOICE,おとぎ話,JP,,,,,,,,,,,,,,,,,
OTOGIVANASHI WILL NEVER DIE!!!!!!!!!,おとぎ話,JP,,,,,,,,,,,,,,,,,
VISION,おとぎ話,JP,,,,,,,,,,,,,,,,,
あいいろ,おとぎ話,JP,,,,,,,,,,,,,,,,,
Kids(2007 アルバムヴァージョン),おとぎ話,JP,,,,,,,,,,,,,,,,,
ＦＬＯＷＥＲ,おとぎ話,JP,,,,,,,,,,,,,,,,,
おとぎ話　BLANK POP!!! (demo demo demo),おとぎ話,JP,,,,,,,,,,,,,,,,,
BLANK POP!!!! (空白の時代を塗り潰せ!)　　,おとぎ話,JP,,,,,,,,,,,,,,,,,
星に願いを (日本語ヴァージョン) [ピノキオ],おとぎ話,JP,,,,,,,,,,,,,,,,,
ＨＯＰＥ,おとぎ話,JP,,,,,,,,,,,,,,,,,
BOYS DON'T CRY(BEAT),おとぎ話,JP,,,,,,,,,,,,,,,,,
オープニング,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＢＯＹＳ　ＤＯＮ’Ｔ　ＣＲＹ,おとぎ話,JP,,,,,,,,,,,,,,,,,
フラワー,おとぎ話,JP,,,,,,,,,,,,,,,,,
OTOGIVANASHI WILL NEVER DIE,おとぎ話,JP,,,,,,,,,,,,,,,,,
青春 (naked),おとぎ話,JP,,,,,,,,,,,,,,,,,
小悪魔ソング#2,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＳＭIＬＥ,おとぎ話,JP,,,,,,,,,,,,,,,,,
太陽の賛歌,おとぎ話,JP,,,,,,,,,,,,,,,,,
クラッシュ(2007 アルバムヴァージョン),おとぎ話,JP,,,,,,,,,,,,,,,,,
Newsong,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＳＭＩＬＥ,おとぎ話,JP,,,,,,,,,,,,,,,,,
BlueBlue,おとぎ話,JP,,,,,,,,,,,,,,,,,
ラヴ,おとぎ話,JP,,,,,,,,,,,,,,,,,
NEON BOYS (FUZZ),おとぎ話,JP,,,,,,,,,,,,,,,,,
Ukiyogunjou,おとぎ話,JP,,,,,,,,,,,,,,,,,
また，よろしく,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＬＯＶＥ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＫＩＤＳ,おとぎ話,JP,,,,,,,,,,,,,,,,,
01.パレード,おとぎ話,JP,,,,,,,,,,,,,,,,,
Boys don’t cry,おとぎ話,JP,,,,,,,,,,,,,,,,,
SMILE (AGAIN),おとぎ話,JP,,,,,,,,,,,,,,,,,
ＮＩＧＨＴＳＷＩＭＭＩＮＧ,おとぎ話,JP,,,,,,,,,,,,,,,,,
BOYS DON'T CRY (BEAT),おとぎ話,JP,,,,,,,,,,,,,,,,,
blank pop !!!,おとぎ話,JP,,,,,,,,,,,,,,,,,
ｎｅｗ　ｓｏｎｇ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ネオンＢＯＹＳ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＢＬＡＮＫ　ＰＯＰ！！！！（空白の時代を塗り潰せ！）,おとぎ話,JP,,,,,,,,,,,,,,,,,
青春(naked),おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 01,おとぎ話,JP,,,,,,,,,,,,,,,,,
さみしいだけ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＦＵＮ　ＣＬＵＢ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＦＥＳＴＩＶＡＬ　ＥＸＰＲＥＳＳ,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＢＬＵＥ　ＢＬＵＥ,おとぎ話,JP,,,,,,,,,,,,,,,,,
05.LOVE,おとぎ話,JP,,,,,,,,,,,,,,,,,
GALAXYYYYYYYY,おとぎ話,JP,,,,,,,,,,,,,,,,,
07.KIDS,おとぎ話,JP,,,,,,,,,,,,,,,,,
Boyz Don`t Cry,おとぎ話,JP,,,,,,,,,,,,,,,,,
BLANK POP!!! (demo demo demo),おとぎ話,JP,,,,,,,,,,,,,,,,,
HOMEWORK,おとぎ話,JP,,,,,,,,,,,,,,,,,
青春（ｎａｋｅｄ）,おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 03,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＷＨＩＴＥ　ＳＯＮＧ,おとぎ話,JP,,,,,,,,,,,,,,,,,
Ｉ　ＬＩＫＥ　ＳＰＯＲＴＳ,おとぎ話,JP,,,,,,,,,,,,,,,,,
BLANK POP!!!,おとぎ話,JP,,,,,,,,,,,,,,,,,
唄の命,おとぎ話,JP,,,,,,,,,,,,,,,,,
Shonen,おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 07,おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 05,おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 06,おとぎ話,JP,,,,,,,,,,,,,,,,,
Unmei,おとぎ話,JP,,,,,,,,,,,,,,,,,
BLANK POP!!!!（空白の時代を塗り潰せ！）,おとぎ話,JP,,,,,,,,,,,,,,,,,
Hikari No Namida,おとぎ話,JP,,,,,,,,,,,,,,,,,
ｓｕｐｅｒｓｔａｒ,おとぎ話,JP,,,,,,,,,,,,,,,,,
06.アゲイン,おとぎ話,JP,,,,,,,,,,,,,,,,,
トラック 02,おとぎ話,JP,,,,,,,,,,,,,,,,,
Culture Club,おとぎ話,JP,,,,,,,,,,,,,,,,,
ＧＡＬＡＸＹ,おとぎ話,JP,,,,,,,,,,,,,,,,,
Ｅ．Ｔ．Ｍ．,おとぎ話,JP,,,,,,,,,,,,,,,,,
ネオンBOYS(paranoi-night-scoop),おとぎ話,JP,,,,,,,,,,,,,,,,,
KIDS(2007 アルバムヴァージョン),おとぎ話,JP,,,,,,,,,,,,,,,,,
11.アテなし,おとぎ話,JP,,,,,,,,,,,,,,,,,
