title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Fukkireta,Teto Kasane,JP,https://www.youtube.com/watch?v=kuNixp-wvWM,,,14162881,281866,,,,,,,,,,,,
Kasane territory,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Mischievous Function,Teto Kasane,JP,,,,,,,,,,,,,,,,,
macaron,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Confront! You Look So Cool!,Teto Kasane,JP,,,,,,,,,,,,,,,,,
RINGxRINGxRING,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Final Reason,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Kasane territory ～It's Teto's turn forever,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Uninstall,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Bad Romance,Teto Kasane,JP,,,,,,,,,,,,,,,,,
The End of The World,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Tube Screamer,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Ochame Kinou,Teto Kasane,JP,,,,,,,,,,,,,,,,,
lilium,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Tetrapod,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Saucy Girl,Teto Kasane,JP,,,,,,,,,,,,,,,,,
I'll Quit Singing,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Konayuki,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Sky Swimmer,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Blaze,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Secret Melody,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Paradise Lost,Teto Kasane,JP,,,,,,,,,,,,,,,,,
gravitation,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Packaged,Teto Kasane,JP,,,,,,,,,,,,,,,,,
kiseki,Teto Kasane,JP,,,,,,,,,,,,,,,,,
PoPiPo,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Shooting☆Star,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Kokiko(POPIPO REMIX),Teto Kasane,JP,,,,,,,,,,,,,,,,,
Senbonzakura,Teto Kasane,JP,,,,,,,,,,,,,,,,,
"Hello, How Are You",Teto Kasane,JP,,,,,,,,,,,,,,,,,
Umineko no Naku Koro ni,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Diggy Doggy Bobblehead,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Barrage Button,Teto Kasane,JP,,,,,,,,,,,,,,,,,
FIRST,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Hello Planet,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Paradigm,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Gochuumon wa Usagi Desu ka ? OP Petit Rabbit's  - Daydream café (Live Action),Teto Kasane,JP,,,,,,,,,,,,,,,,,
Song of the eared robot,Teto Kasane,JP,,,,,,,,,,,,,,,,,
You Were There,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Yamete Yaruyo Utaite Nanka,Teto Kasane,JP,,,,,,,,,,,,,,,,,
StargazeR,Teto Kasane,JP,,,,,,,,,,,,,,,,,
おちゃめ機能　歌った,Teto Kasane,JP,,,,,,,,,,,,,,,,,
Despair the Hamburger Factory,Teto Kasane,JP,,,,,,,,,,,,,,,,,
