title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Parranda de Navidad,Tania,Latin,,,,,,,,,,,,,,,,,
Pena que yo siento,Tania,Latin,,https://open.spotify.com/track/0QzgeQ2CKJRhUzDCyMWU33,,,,,,,,,,,,,,,
Åh Sjuttiotal,Tania,Latin,,https://open.spotify.com/track/1q3WON0bLNwCncYAX46JuU,,,,,,,,,,,,,,,
Enamorada,Tania,Latin,,,,,,,,,,,,,,,,,
AIN'T GOOD ENOUGH,Tania,Latin,,,,,,,,,,,,,,,,,
La Pena Que Yo Siento,Tania,Latin,,,,,,,,,,,,,,,,,
Playas De Mi Tierra,Tania,Latin,,https://open.spotify.com/track/04a3HWm1ewzadFFu7BUSun,,,,,,,,,,,,,,,
Campesino De Mi Tierra,Tania,Latin,,,,,,,,,,,,,,,,,
Por Tus Recuerdos,Tania,Latin,,,,,,,,,,,,,,,,,
Break Up to Make Up,Tania,Latin,,https://open.spotify.com/track/6NK4zIYFqsqhCEVHBrlp9v,,,,,,,,,,,,,,,
Renacer,Tania,Latin,,,,,,,,,,,,,,,,,
Prueba De Amor,Tania,Latin,,,,,,,,,,,,,,,,,
Mi Nuevo Amor,Tania,Latin,,https://open.spotify.com/track/1rlLtn4ncoWPX9w8c7JEvt,,,,,,,,,,,,,,,
Tengo Tanto,Tania,Latin,,,,,,,,,,,,,,,,,
Joe Arroyo,Tania,Latin,,,,,,,,,,,,,,,,,
Politician,Tania,Latin,,https://open.spotify.com/track/2354eSd8ZpRQ5MBQRNhJU7,,,,,,,,,,,,,,,
Honesty,Tania,Latin,,https://open.spotify.com/track/67UcJvKnhen1RufUgkGvwR,,,,,,,,,,,,,,,
Llego La Navidad,Tania,Latin,,,,,,,,,,,,,,,,,
Calla Corazón,Tania,Latin,,,,,,,,,,,,,,,,,
Cumbia Guajira,Tania,Latin,,https://open.spotify.com/track/0LzRfMyNyuzOoCrY2FC47W,,,,,,,,,,,,,,,
Concierto para una voz,Tania,Latin,,,,,,,,,,,,,,,,,
Fase,Tania,Latin,,,,,,,,,,,,,,,,,
Nuestro juaramento,Tania,Latin,,,,,,,,,,,,,,,,,
Grascias a la vidad,Tania,Latin,,,,,,,,,,,,,,,,,
Recuerdo De Cumbia,Tania,Latin,,https://open.spotify.com/track/1r8xZrzj2uXyZXlaTe0AgY,,,,,,,,,,,,,,,
Cenizas,Tania,Latin,,,,,,,,,,,,,,,,,
Sombras.,Tania,Latin,,,,,,,,,,,,,,,,,
Te odio y te quiero,Tania,Latin,,,,,,,,,,,,,,,,,
Hablame,Tania,Latin,,,,,,,,,,,,,,,,,
Cuando sale la lun,Tania,Latin,,,,,,,,,,,,,,,,,
El primer amor,Tania,Latin,,,,,,,,,,,,,,,,,
Regresa Corazon,Tania,Latin,,https://open.spotify.com/track/1MnTsgkDQNE9w6UawPpMVl,,,,,,,,,,,,,,,
Mucho corazon,Tania,Latin,https://www.youtube.com/watch?v=gl08f9_Y5X4,,,,,,,,,,,,,,,,
Un mundo raro,Tania,Latin,,,,,,,,,,,,,,,,,
Niegalo,Tania,Latin,,https://open.spotify.com/track/0JhtbZbwel4zUpYMhbbxPl,,,,,,,,,,,,,,,
El Aguacero,Tania,Latin,,,,,,,,,,,,,,,,,
Cool Kids (Step Workout Remix),Tania,Latin,,,,,,,,,,,,,,,,,
Razon de vivir,Tania,Latin,,,,,,,,,,,,,,,,,
Fragilidad,Tania,Latin,,,,,,,,,,,,,,,,,
Regresa Corazón,Tania,Latin,,,,,,,,,,,,,,,,,
Mi Ranchito,Tania,Latin,,,,,,,,,,,,,,,,,
Escandalo luz y sombra,Tania,Latin,,,,,,,,,,,,,,,,,
Tu recuerdo y yo,Tania,Latin,,,,,,,,,,,,,,,,,
Que Corto Es El Amor,Tania,Latin,,https://open.spotify.com/track/1gqp51y5XEbEf4DI93pS6l,,,,,,,,,,,,,,,
Escarcha,Tania,Latin,,,,,,,,,,,,,,,,,
Mil besos,Tania,Latin,,https://open.spotify.com/track/65HTWz4nqQj4CxAxh2IqZ7,,,,,,,,,,,,,,,
Violeta,Tania,Latin,,,,,,,,,,,,,,,,,
Calla Corazon,Tania,Latin,,https://open.spotify.com/track/1dmC2IXxMoymEGJKHAC5Z2,,,,,,,,,,,,,,,
Corazon de madera,Tania,Latin,,,,,,,,,,,,,,,,,
Quintetto X,Tania,Latin,,,,,,,,,,,,,,,,,
Wayna,Tania,Latin,,,,,,,,,,,,,,,,,
Vete A Llorar Al Rio,Tania,Latin,,https://open.spotify.com/track/00jmVB4bpbG3DEMhfOaary,,,,,,,,,,,,,,,
La La La (Step Workout Remix),Tania,Latin,,,,,,,,,,,,,,,,,
Tres palabras,Tania,Latin,,,,,,,,,,,,,,,,,
By You,Tania,Latin,,,,,,,,,,,,,,,,,
Tu Si Me Quieres,Tania,Latin,,https://open.spotify.com/track/0gp3EGhdPCHLWXcx1CdQdt,,,,,,,,,,,,,,,
Yuyo Verde,Tania,Latin,,,,,,,,,,,,,,,,,
Qué Tienes,Tania,Latin,,,,,,,,,,,,,,,,,
Que Tienes,Tania,Latin,https://www.youtube.com/watch?v=oFobK9ceaIc,https://open.spotify.com/track/1l0go9i8Pup31wNlhmUMsk,,17027,79,,,,,,,,,,,,
Ola de la mar,Tania,Latin,,,,,,,,,,,,,,,,,
Cafetín de Buenos Aires,Tania,Latin,,https://open.spotify.com/track/6tW81gkax2fErCHXEKL8oC,,,,,,,,,,,,,,,
Tambora,Tania,Latin,,,,,,,,,,,,,,,,,
Does Your Mother Know,Tania,Latin,,,,,,,,,,,,,,,,,
Pa' todo el año,Tania,Latin,,,,,,,,,,,,,,,,,
U,Tania,Latin,,,,,,,,,,,,,,,,,
