title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Gimme Love,Scratch 8,Latin,https://www.youtube.com/watch?v=Lb4YltRYtyg,,,128103,321,,,,,,,,,,,,
Generación Pop,Scratch 8,Latin,,,,,,,,,,,,,,,,,
El Poder,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Despiértame así,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Realizate,Scratch 8,Latin,,,,,,,,,,,,,,,,,
GENERACION POP,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Dulce Princesa,Scratch 8,Latin,,,,,,,,,,,,,,,,,
solo estabas vos,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Despiertame Así,Scratch 8,Latin,,,,,,,,,,,,,,,,,
El Poder (Single Version),Scratch 8,Latin,,,,,,,,,,,,,,,,,
Late Corazón,Scratch 8,Latin,,,,,,,,,,,,,,,,,
by BDR,Scratch 8,Latin,,,,,,,,,,,,,,,,,
El Poder de tu Generación,Scratch 8,Latin,,,,,,,,,,,,,,,,,
No Me Dejes Atras,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Despiertame,Scratch 8,Latin,,,,,,,,,,,,,,,,,
Learn to Fight,Scream Daisy,EU,,https://open.spotify.com/track/7JqKapiFHQWOkFzHGaLhmb,,,,,,,,,,,,,,,
Bees,Scream Daisy,EU,,https://open.spotify.com/track/10Dx4qTPnl3Rr3HQVFr1ih,,,,,,,,,,,,,,,
Happy Families,Scream Daisy,EU,,,,,,,,,,,,,,,,,
room 7,Scream Daisy,EU,https://www.youtube.com/watch?v=nmH6NjY-KGM,https://open.spotify.com/track/0ngAh82lrnwMKcWn2DTdpQ,,100401,406,,,,,,,,,,,,
What They Say,Scream Daisy,EU,,,,,,,,,,,,,,,,,
Pretty,Scream Daisy,EU,,https://open.spotify.com/track/3iYkUDgC32MbdkofFtmV7Z,,,,,,,,,,,,,,,
lifesaver,Scream Daisy,EU,,https://open.spotify.com/track/3B0ZmaGBXW3BWHeQ3SDjkC,,,,,,,,,,,,,,,
Comeback,Scream Daisy,EU,,,,,,,,,,,,,,,,,
Seeing is Believing,Scream Daisy,EU,,https://open.spotify.com/track/7rb8kqyKUloOp1ebgU1CdK,,,,,,,,,,,,,,,
