title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
"Fernando Sor - Menuet I, II (D# major)",Julyo,EU,,,,,,,,,,,,,,,,,
Autumn Leaves,Julyo,EU,,,,,,,,,,,,,,,,,
Sonata Pathétique in C Minor No. 8 Op. 13 (Adagio Cantabile),Julyo,EU,,,,,,,,,,,,,,,,,
Mystero,Julyo,EU,,https://open.spotify.com/track/2WtVc4TJVHkDX6J3GIRf3G,,,,,,,,,,,,,,,
Mikham Beram Kooh,Julyo,EU,,https://open.spotify.com/track/0QPT0BNsBgoUpOMUg0VkVT,,,,,,,,,,,,,,,
Moonlight Sonata in C♯ Minor Op. 27 No. 2 (Adagio Sostenuto),Julyo,EU,,,,,,,,,,,,,,,,,
Moonlight Sonata in C♯ Minor Op. 27 No. 2 (Presto Agitato),Julyo,EU,,,,,,,,,,,,,,,,,
Latin Danza,Julyo,EU,,https://open.spotify.com/track/68blKo9Dsu2F7x0KlopmaL,,,,,,,,,,,,,,,
Mayola,Julyo,EU,,https://open.spotify.com/track/7zhWyi9VBmmtVlwPwPhAr0,,,,,,,,,,,,,,,
Imagine (all the People),Julyo,EU,,,,,,,,,,,,,,,,,
Smell It!,Julyo,EU,,https://open.spotify.com/track/0e81Ap1HRAztIQJXsAx7y6,,,,,,,,,,,,,,,
Trustfund Babies,Julyo,EU,,https://open.spotify.com/track/1rieEsDY3QVdVOFmOgnXLm,,,,,,,,,,,,,,,
Symphony No 7 in A Major Op. 92 (Allegretto),Julyo,EU,,,,,,,,,,,,,,,,,
Für Elise Op. 59 No. 25 in A Minor,Julyo,EU,,,,,,,,,,,,,,,,,
HADO Beat,Julyo,EU,,https://open.spotify.com/track/2iTc9FTKlh3Aqcm7NUkYUP,,,,,,,,,,,,,,,
