title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Wet Bossa Floor,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Sussa,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
You´ve Gone Wrong (PopCornMix),Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Abertura,Ticiano Paludo,Latin,,https://open.spotify.com/track/7oKXCRkarKEkKxNxfH9CeS,,,,,,,,,,,,,,,
"Amo, Não Amo",Ticiano Paludo,Latin,,https://open.spotify.com/track/709FGrHMcv2t7rso05P7n4,,,,,,,,,,,,,,,
Fotografias,Ticiano Paludo,Latin,,https://open.spotify.com/track/64lyst35xfKZBwjH6quQLl,,,,,,,,,,,,,,,
Morrer,Ticiano Paludo,Latin,,https://open.spotify.com/track/6dPio1ukktfWiuCIDeSrwx,,,,,,,,,,,,,,,
Delays,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Dançamos,Ticiano Paludo,Latin,,https://open.spotify.com/track/6zbGRPVRJYcIEmICa3UMxi,,,,,,,,,,,,,,,
E Agora?,Ticiano Paludo,Latin,,https://open.spotify.com/track/4u44q9Mq6TR2R7RoWizNXT,,,,,,,,,,,,,,,
Bolero,Ticiano Paludo,Latin,,https://open.spotify.com/track/1cH4ocQzmynhEjCjt1NGAs,,,,,,,,,,,,,,,
Faz 30 Anos,Ticiano Paludo,Latin,,https://open.spotify.com/track/0FypJY705dqOalAtyw98Te,,,,,,,,,,,,,,,
Cadeira de Rodas,Ticiano Paludo,Latin,,https://open.spotify.com/track/3edXyGU862V7nRHaQY4bfl,,,,,,,,,,,,,,,
Sala das Crianças,Ticiano Paludo,Latin,,https://open.spotify.com/track/1l4zFHGosjd3m5m25kLDKq,,,,,,,,,,,,,,,
Fanfarra,Ticiano Paludo,Latin,,https://open.spotify.com/track/5x425UXtDsByLRFk8Eolzc,,,,,,,,,,,,,,,
Varal (Enfermeira),Ticiano Paludo,Latin,,https://open.spotify.com/track/6wiHe3Gd4HFJpbgXdQ3Bub,,,,,,,,,,,,,,,
I Believe,Ticiano Paludo,Latin,,https://open.spotify.com/track/3q5fmUANWkh37zURHlPRZo,,,,,,,,,,,,,,,
Leito de Morte,Ticiano Paludo,Latin,,https://open.spotify.com/track/3HqAh26F2FGij9BbM2dn49,,,,,,,,,,,,,,,
Acid Oxygen,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
City Lights,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Xango 144BPM,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
I Believe (Guitar Version),Ticiano Paludo,Latin,,https://open.spotify.com/track/0QanBZ9WCqwNBV3AWhxYzl,,,,,,,,,,,,,,,
Vermelho@a libido,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Corvos 1,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Diabo No Corpo (Bossa Furiosa RMX),Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
I Believe - Guitar Version,Ticiano Paludo,Latin,,,,,,,,,,,,,,,,,
Por Que Morrer?,Ticiano Paludo,Latin,,https://open.spotify.com/track/6gW6HpUxG81cleJ7IjDPUt,,,,,,,,,,,,,,,
Sair Para Dançar,Ticiano Paludo,Latin,,https://open.spotify.com/track/2edTm6zzvGUDUJuZ8sJL9a,,,,,,,,,,,,,,,
