title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Ashes,Stellar,KR,https://www.youtube.com/watch?v=nX1mE5-P35c,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,,10241656,89716,,,,,,,,,,,,
Blur,Stellar,KR,https://www.youtube.com/watch?v=xOXfnMkN91g,https://open.spotify.com/track/1nr2k1HoeQvi6uf08zVzLj,,6020873,87136,,,,,,,,,,,,
Bad Dream,Stellar,KR,https://www.youtube.com/watch?v=1qksd1FYZe8,https://open.spotify.com/track/4vDGc8mD9kHbC2Yy6pF6SE,,4297251,98788,,,,,,,,,,,,
El Dorado,Stellar,KR,https://www.youtube.com/watch?v=1KdQvhlINIk,https://open.spotify.com/track/57JjdN82YBM7mPQureo1TZ,,10397101,178352,,,,,,,,,,,,
Sting,Stellar,KR,https://www.youtube.com/watch?v=IIj7j7mtNS4,https://open.spotify.com/track/0ULq4YEtDWHBOJTeoOR2jt,,8566357,92754,,,,,,,,,,,,
Vibrato,Stellar,KR,https://www.youtube.com/watch?v=p8vr-y9lURc,https://open.spotify.com/track/22R5fogq6llYfzzpv12KyD,,215673,2429,,,,,,,,,,,,
Daredevil,Stellar,KR,https://www.youtube.com/watch?v=2igYGfAv6J4,https://open.spotify.com/track/17vL1sruRbrtMHGqu6uyJe,,4656471,82809,,,,,,,,,,,,
Stranger,Stellar,KR,https://www.youtube.com/watch?v=Y1yUlrUb5Ks,https://open.spotify.com/track/79w5oc04QaB15czB3qO95w,,2903427,68851,,,,,,,,,,,,
Masquerade,Stellar,KR,https://www.youtube.com/watch?v=ekRinM2kzag,https://open.spotify.com/track/6UnOxNp0jZfFXyKcAtJwUj,,2375995,49516,,,,,,,,,,,,
Crying,Stellar,KR,https://www.youtube.com/watch?v=rQPn8f9uls4,https://open.spotify.com/track/4GyPhineXFbjP5nxRzLPeI,,3186626,64792,,,,,,,,,,,,
Mistake,Stellar,KR,https://www.youtube.com/watch?v=ITqnvNoNJXo,,,4182753,75249,,,,,,,,,,,,
Marionette,Stellar,KR,https://www.youtube.com/watch?v=NCQpzHPYRUc,https://open.spotify.com/track/41HYttCBvuyzQqiQyMg7D9,,,,,,,,,,,,,,,
Insomnia,Stellar,KR,https://www.youtube.com/watch?v=Ajv5MB-cEDQ,https://open.spotify.com/track/0kYBBCZ1dklJUXprowmbvr,,63068,820,,,,,,,,,,,,
Grave,Stellar,KR,https://www.youtube.com/watch?v=yEvVyuNd9ZE,,,2652935,102593,,,,,,,,,,,,
Archangels of the Sephiroth,Stellar,KR,https://www.youtube.com/watch?v=3xnM1EKt0qI,https://open.spotify.com/track/68o76CgHzUfgT19WXhh19d,,52393,3326,,,,,,,,,,,,
Cold Outside,Stellar,KR,https://www.youtube.com/watch?v=15HiSYkyRFE,https://open.spotify.com/track/090GZQJxqxVKW8q82rcAry,,351867,10136,,,,,,,,,,,,
Faith In Me,Stellar,KR,https://www.youtube.com/watch?v=bdFJPZHB3nA,https://open.spotify.com/track/39cCKb7vpi2VvVnPJtKb4M,,2154982,43482,,,,,,,,,,,,
Mask,Stellar,KR,https://www.youtube.com/watch?v=jnROp2RyanM,https://open.spotify.com/track/31C7XruqkFo1FGnSarAcQF,,,,,,,,,,,,,,,
Love Spell,Stellar,KR,https://www.youtube.com/watch?v=PpNM9N1BWUA,https://open.spotify.com/track/5Dd4yhuLKppCA153lhkfY7,,389522,11322,,,,,,,,,,,,
Ashes (Martin Jensen Remix),Stellar,KR,,,,,,,,,,,,,,,,,
I'm Still Young,Stellar,KR,,https://open.spotify.com/track/3NM3FBfLG9nS86vVPX5SJE,,,,,,,,,,,,,,,
Golden Years,Stellar,KR,https://www.youtube.com/watch?v=89A1UImS12g,https://open.spotify.com/track/6NUFlPM8oOPSMMgkrh5KmS,,132863,4273,,,,,,,,,,,,
Do You Hear Me?,Stellar,KR,https://www.youtube.com/watch?v=h6ehi0wFq-0,https://open.spotify.com/track/2ugpMqLRPnm4JvMTT7Vyzw,,30600,238,,,,,,,,,,,,
Have It All,Stellar,KR,https://www.youtube.com/watch?v=_vvu6sqfam4,https://open.spotify.com/track/3yhqfxM4t4XZt6TfLAmFuD,,15866,397,,,,,,,,,,,,
Cinderella,Stellar,KR,https://www.youtube.com/watch?v=Iu8kTkWGs8A,https://open.spotify.com/track/1n8Pu6LElgcqmqdoZpiZhu,,69743,642,,,,,,,,,,,,
Ringtone,Stellar,KR,https://www.youtube.com/watch?v=tBmUn_v2y5s,https://open.spotify.com/track/2wIVw2ea4aYfBdV5vSSWcy,,33569,394,,,,,,,,,,,,
Smoking Gun,Stellar,KR,https://www.youtube.com/watch?v=lIv9kmtPapM,https://open.spotify.com/track/6ulJylRdpaB2dXStUYZwZd,,253576,7486,,,,,,,,,,,,
Stuck On You,Stellar,KR,,,,,,,,,,,,,,,,,
More Than Friends,Stellar,KR,https://www.youtube.com/watch?v=N5tAOvYKi7A,https://open.spotify.com/track/0VY5LkH0qbPPeHpyjBo8aI,,97401,3175,,,,,,,,,,,,
Guilty,Stellar,KR,https://www.youtube.com/watch?v=IaXKTFiVFbk,https://open.spotify.com/track/61nRaAHYgPD80iZPdhyQIV,,32320,578,,,,,,,,,,,,
The Wave,Stellar,KR,https://www.youtube.com/watch?v=HWnVo5j_JHg,https://open.spotify.com/track/5KdejRJBbf6sbLWC3cFRCe,,28665,502,,,,,,,,,,,,
Joyride,Stellar,KR,https://www.youtube.com/watch?v=qxBa15ZUaVE,https://open.spotify.com/track/6euVfvFWXvLe3YoYAYK0N8,,57413,2332,,,,,,,,,,,,
Intro,Stellar,KR,https://www.youtube.com/watch?v=95QBsPVB07k,https://open.spotify.com/track/2yrqS0WAN3hxttVhpehrby,,15547,131,,,,,,,,,,,,
Study,Stellar,KR,https://www.youtube.com/watch?v=x6qask_cn-I,https://open.spotify.com/track/0jPjeysCxjAVzrMGt73y5R,,,,,,,,,,,,,,,
Why Me,Stellar,KR,https://www.youtube.com/watch?v=J2r2RNNWWvo,https://open.spotify.com/track/3KXcejMhwKi6VyUW0pD3lU,,55167,365,,,,,,,,,,,,
T.I.E,Stellar,KR,https://www.youtube.com/watch?v=0V-p0kbNwTw,https://open.spotify.com/track/1ehm7Fo4esxSI6WyQVK1Sk,,28645,233,,,,,,,,,,,,
Twinkle,Stellar,KR,https://www.youtube.com/watch?v=BZ9tCl87Rws,https://open.spotify.com/track/5F3keQ4poGSTvSqmiNqJnd,,16128,246,,,,,,,,,,,,
Persuasion,Stellar,KR,,,,,,,,,,,,,,,,,
떨려요,Stellar,KR,https://www.youtube.com/watch?v=pOmTdFpIDX8,https://open.spotify.com/track/0GqvfTRhP8HUn16mQx5Hxi,,,,,,,,,,,,,,,
Fool,Stellar,KR,https://www.youtube.com/watch?v=Pv9R-dhmYPk,https://open.spotify.com/track/0B2ruc3HYAtXEqjQrpWMWQ,,,,,,,,,,,,,,,
찔려,Stellar,KR,https://www.youtube.com/watch?v=IIj7j7mtNS4,https://open.spotify.com/track/0ULq4YEtDWHBOJTeoOR2jt,,8566357,92754,,,,,,,,,,,,
forsaken,Stellar,KR,,,,,,,,,,,,,,,,,
