title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
茅蜩モラトリアム,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Higurashi Moratorium,TOTAL OBJECTION,JP,https://www.youtube.com/watch?v=7vCXPhOspS0,,,75122,1360,,,,,,,,,,,,
Zekkyou Paranoia,TOTAL OBJECTION,JP,https://www.youtube.com/watch?v=KeL81Plrm3M,,,152207,2412,,,,,,,,,,,,
スカーレットチェリーブロッサム,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
絶境パラノイア,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
STRUGGLE,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
ALIVE,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
プラネットスカーズ,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
fools,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
アッパーグライダー,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
.Live it up!!!,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
monoclogue,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Amophylaxis,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
nanogear (english ver.),TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
混沌アンビエント,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
アッパーグライダー (struggle ver.),TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
from here to somewhere,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
nanogear,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
またあした,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
茅蜩モラトリアム feat.GUMI,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Remote Paranoia,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
十五夜語り,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Versus - feat.KIHIRO(from LOKA),TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Versus,TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
Higurashi Moratorium(ost osu),TOTAL OBJECTION,JP,,,,,,,,,,,,,,,,,
