title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Brejeiro,Café Brasil,Latin,,,,,,,,,,,,,,,,,
"485 - Capitalisto, Estado e cumpadres",Café Brasil,Latin,,,,,,,,,,,,,,,,,
Onde Andarás,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Mariana,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Bionne,Café Brasil,Latin,,,,,,,,,,,,,,,,,
632 - A era da inveja,Café Brasil,Latin,,,,,,,,,,,,,,,,,
529 - Equilibrio distante,Café Brasil,Latin,,,,,,,,,,,,,,,,,
494 - O bom proposito,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Noites Cariocas,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Sarau para Radamés,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Titulos de Nobreza,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Meu Primeiro Amor,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Jamais,Café Brasil,Latin,,,,,,,,,,,,,,,,,
462 - Meritocracia tres,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 786 - O Cuzao,Café Brasil,Latin,,,,,,,,,,,,,,,,,
486 - EXTRA - Star Wars,Café Brasil,Latin,,,,,,,,,,,,,,,,,
560 - Hotel California,Café Brasil,Latin,,,,,,,,,,,,,,,,,
526 - Um jeito brasileiro de ser,Café Brasil,Latin,,,,,,,,,,,,,,,,,
491 - O homem das estrelas,Café Brasil,Latin,,,,,,,,,,,,,,,,,
489 - A âncora,Café Brasil,Latin,,,,,,,,,,,,,,,,,
475 - Estadao ou estadinho,Café Brasil,Latin,,,,,,,,,,,,,,,,,
639 - Chega de falar de politica,Café Brasil,Latin,,,,,,,,,,,,,,,,,
589 - A cultura da reclamacao,Café Brasil,Latin,,,,,,,,,,,,,,,,,
527 - Os X Men,Café Brasil,Latin,,,,,,,,,,,,,,,,,
502 - Um coxinha,Café Brasil,Latin,,,,,,,,,,,,,,,,,
509 - O tenis e o frescobol,Café Brasil,Latin,,,,,,,,,,,,,,,,,
508 - Dissonancia cognitiva,Café Brasil,Latin,,,,,,,,,,,,,,,,,
492 - Proposito,Café Brasil,Latin,,,,,,,,,,,,,,,,,
487 - Unfollow,Café Brasil,Latin,,,,,,,,,,,,,,,,,
489 – A âncora,Café Brasil,Latin,,,,,,,,,,,,,,,,,
740 - O tempo passou na janela,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 601 - Alfabetizacao para a midia 2,Café Brasil,Latin,,,,,,,,,,,,,,,,,
590 - O que aprendi com o cancer,Café Brasil,Latin,,,,,,,,,,,,,,,,,
563 - Corruptinhos revisitado,Café Brasil,Latin,,,,,,,,,,,,,,,,,
567 - Carta ao jovem desempregado,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 999 - Hotel California,Café Brasil,Latin,,,,,,,,,,,,,,,,,
501 - Vai viver cara,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Pastora dos Olhos Castanhos,Café Brasil,Latin,,,,,,,,,,,,,,,,,
1 : 0,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Choro Chorão,Café Brasil,Latin,,,,,,,,,,,,,,,,,
André de Sapato Novo,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Brasileirinha,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Galo Garnizé,Café Brasil,Latin,,,,,,,,,,,,,,,,,
"Cafezinho 490 – Seja ignorante, por favor!",Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafezinho 441 – Qual cultura é melhor?,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Brasileirinho,Café Brasil,Latin,,,,,,,,,,,,,,,,,
641 - O delito de ser livre,Café Brasil,Latin,,,,,,,,,,,,,,,,,
634 - Mee chama de currupto porra,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Café Brasil 901 - Adultescência,Café Brasil,Latin,,,,,,,,,,,,,,,,,
275 – Bohemian Rhapsody,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Café Brasil 770 - O kit para detecção de bobagens,Café Brasil,Latin,,,,,,,,,,,,,,,,,
CafeBrasil497-Eureka,Café Brasil,Latin,,,,,,,,,,,,,,,,,
741 - Cascata de disponibilidade,Café Brasil,Latin,,,,,,,,,,,,,,,,,
633 - BallasCast,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 636,Café Brasil,Latin,,,,,,,,,,,,,,,,,
588 - Escola sem partido,Café Brasil,Latin,,,,,,,,,,,,,,,,,
591 - Alfabetizacao para a midia,Café Brasil,Latin,,,,,,,,,,,,,,,,,
581 - Carta aos jornalistas,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 608 - 12 regras,Café Brasil,Latin,,,,,,,,,,,,,,,,,
569 - O artista de rua,Café Brasil,Latin,,,,,,,,,,,,,,,,,
517 - Musica e ditadura revisitado,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafe Brasil 533 - Que país é esse,Café Brasil,Latin,,,,,,,,,,,,,,,,,
544 - Persuadivel,Café Brasil,Latin,,,,,,,,,,,,,,,,,
516 - Pra onde voce vai,Café Brasil,Latin,,,,,,,,,,,,,,,,,
500 - Caleidoscopio,Café Brasil,Latin,,,,,,,,,,,,,,,,,
518 - O fator Merlin,Café Brasil,Latin,,,,,,,,,,,,,,,,,
Cafezinho 529 – Se Bolsonaro vencer...,Café Brasil,Latin,,,,,,,,,,,,,,,,,
