title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Hot Hot Hot,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Hit the Road Jack,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Smack Dab In The Middle,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Screwy Music,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Zat You Santa Claus,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Bad Boy,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
"Hot, Hot, Hot",Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
House Of The Rising Sun,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Feeling Hot Hot Hot,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Good Morning Judge,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Heart Of Gold,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Are You Lonely For Me Baby,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Whadaya Want,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Oh Me Oh My (I'm A Fool For You Baby),Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Cannibal,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Hot Hot Hot (Radio Edit),Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
"Medley Three (""Three Inches is Such a Wretched Height"")",Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
"Hit the Road, Jack",Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Whadaya Want?,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Big Fat Mamas Are Back in Style,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
"Rocket ""88""",Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Knock'm Down Whiskey,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
All Night Party,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
The Worst Beer I Ever Had,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
I Got Loaded,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Breakin' Up the House,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Mean Spirited Sal,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Who Drank My Beer (While I Was in the Rear)?,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
I'll Die Happy,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Drunk,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Doin' What I Please,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Lavender Coffin,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Alcohol,Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
Butcher Pete (Parts 1 & 2),Buster Poindexter,Latin,,,,,,,,,,,,,,,,,
