title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
"Sex, Drugs, Etc.",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Chit Chat,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Swoon,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. - Sped Up Version",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Pineapple Sunrise,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Trouble With This Bed,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Home Movies,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Someone's Disaster,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Tremors,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Miss You,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Goddess,Beach Weather,USUK,,,,,,,,,,,,,,,,,
WOLF,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Homebody,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable (feat. Pale Waves),Beach Weather,USUK,,,,,,,,,,,,,,,,,
New Skin,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. - Stripped Down",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Hard Feelings,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Bad Seed,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Rebel Sun,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Desert Oasis,Beach Weather,USUK,,,,,,,,,,,,,,,,,
High & Driving,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Silent Type,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Wildfire,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable - Stripped Down,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Homebody - Poolside Version,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Sped Up Version)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
High & Driving - Stripped Down,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Stripped Down)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Pineapple Sunrise - Stripped Down,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Trouble With This Bed - Stripped Down,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Official Video)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable [Explicit],Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Still Life,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Rebel Son,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (DYST Frenchcore Remix)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Breach,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable (Stripped Down),Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Sped Up)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Homebody (Poolside Version),Beach Weather,USUK,,,,,,,,,,,,,,,,,
High & Driving (Stripped Down),Beach Weather,USUK,,,,,,,,,,,,,,,,,
Pineapple Sunrise (Stripped Down),Beach Weather,USUK,,,,,,,,,,,,,,,,,
High  Driving,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Ghosts,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Trouble With This Bed (Stripped Down),Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. - Sped Up",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (sped up/tiktok version) Lyrics",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Small Voices,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"sex, drugs, etc. (legendado)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Acoustic Video)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Sex Drugs Etc,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Iceland,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Ect",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Sex Drugs Etc.,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Speed Up)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Unlovable (Stripped Down) [Explicit],Beach Weather,USUK,,,,,,,,,,,,,,,,,
"""Sex",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (tiktok version)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. // traducción al español",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Silent Type [Explicit],Beach Weather,USUK,,,,,,,,,,,,,,,,,
"sex, drugs, etc. // slowed + reverb",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Swoon (Lyrics in Description),Beach Weather,USUK,,,,,,,,,,,,,,,,,
Desert Oasis [Explicit],Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (DRIFTMANE, Tazzy Phonk Remix)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (Lyric Video)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"sex, drugs, etc. (Lyrics)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Sea,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Half love half regret,Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. hardstyle remix",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (From Jimmy Kimmel Live!)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
(I'm floating on my),Beach Weather,USUK,,,,,,,,,,,,,,,,,
Trouble With This Bed (Official Video),Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Ect.",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"‎Sex, Drugs, Etc.",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"beach weather - sex, drugs, etc. // slowed + reverb",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Beach Weather - Sex, Drugs, Etc.",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Perfect (One Direction Cover),Beach Weather,USUK,,,,,,,,,,,,,,,,,
"sex, drugs, etc. // edit audio",Beach Weather,USUK,,,,,,,,,,,,,,,,,
Perfect (Cover),Beach Weather,USUK,,,,,,,,,,,,,,,,,
Beach Weather,Beach Weather,USUK,,,,,,,,,,,,,,,,,
Sex Drugs Etc (speed up remix),Beach Weather,USUK,,,,,,,,,,,,,,,,,
Pineapple Sunrise (Lyric Video),Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, drugs, etc. (SLOWED + REVERB)",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Beach Weather - Sex, Drugs, Etc. (sped up/tiktok version) Lyrics | floating on my low key vibe",Beach Weather,USUK,,,,,,,,,,,,,,,,,
"Sex, Drugs, Etc. (sped Up/tiktok Version) Lyrics - Floating On My…",Beach Weather,USUK,,,,,,,,,,,,,,,,,
