title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Rumba Marciana,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Acid Dub,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Mama Cocha,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Rob-A-Dub,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Arabio,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Chacarita,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Reflejos,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Ragga Evolution,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Dub Is Shadow,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Samba Dub,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Copla del Arbol,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Technocracy,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Afro Tune,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Mandinga,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
La Solitaria,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Inmersión Sideral,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Amanecer,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Darkumbia,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Horoscopio,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Psiconauta,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Copla del Arbol (Feat. Andrea Bernardini),Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Mandinga.mp3?Circuitos Vol tiles Mandinga,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
Mama Cocha.mp3?Circuitos Vol tiles Mama Cocha,Circuitos Volátiles,Latin,,,,,,,,,,,,,,,,,
iNSaNiTY,Circus-P,JP,,,,,,,,,,,,,,,,,
Goodbye,Circus-P,JP,,,,,,,,,,,,,,,,,
Lie,Circus-P,JP,,,,,,,,,,,,,,,,,
Copycat,Circus-P,JP,,,,,,,,,,,,,,,,,
Circus Monster,Circus-P,JP,,,,,,,,,,,,,,,,,
Last of Me,Circus-P,JP,,,,,,,,,,,,,,,,,
Breathe,Circus-P,JP,,,,,,,,,,,,,,,,,
Addicted (Revised Version),Circus-P,JP,,,,,,,,,,,,,,,,,
aiSeNMa,Circus-P,JP,,,,,,,,,,,,,,,,,
Monochrome,Circus-P,JP,,,,,,,,,,,,,,,,,
The Tale of a 10 Year Old Vampire Queen,Circus-P,JP,,,,,,,,,,,,,,,,,
Deja Vu,Circus-P,JP,,,,,,,,,,,,,,,,,
Introduction,Circus-P,JP,,,,,,,,,,,,,,,,,
iNFeCTioN (English Version),Circus-P,JP,,,,,,,,,,,,,,,,,
I(愛),Circus-P,JP,,,,,,,,,,,,,,,,,
Karma,Circus-P,JP,,,,,,,,,,,,,,,,,
Heartbeat,Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉,Circus-P,JP,,,,,,,,,,,,,,,,,
Repeat II,Circus-P,JP,,,,,,,,,,,,,,,,,
Glow,Circus-P,JP,,,,,,,,,,,,,,,,,
Addicted (krypt remix),Circus-P,JP,,,,,,,,,,,,,,,,,
Synthesized Love,Circus-P,JP,,,,,,,,,,,,,,,,,
Lucid,Circus-P,JP,,,,,,,,,,,,,,,,,
How To Pretend,Circus-P,JP,,,,,,,,,,,,,,,,,
Synthesized Love (Miku Version),Circus-P,JP,,,,,,,,,,,,,,,,,
You Are Mine,Circus-P,JP,,,,,,,,,,,,,,,,,
Finale II,Circus-P,JP,,,,,,,,,,,,,,,,,
mErcy,Circus-P,JP,,,,,,,,,,,,,,,,,
リカバリー,Circus-P,JP,,,,,,,,,,,,,,,,,
The World Tonight,Circus-P,JP,,,,,,,,,,,,,,,,,
Repeat (peachfuzzmixx),Circus-P,JP,,,,,,,,,,,,,,,,,
1/4,Circus-P,JP,,,,,,,,,,,,,,,,,
iNFeCTioN (nostraightanswer remix),Circus-P,JP,,,,,,,,,,,,,,,,,
"Hello, Again",Circus-P,JP,,,,,,,,,,,,,,,,,
FADE,Circus-P,JP,,,,,,,,,,,,,,,,,
Selfish,Circus-P,JP,,,,,,,,,,,,,,,,,
Muffins,Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉 (myst's sugarcubed remix),Circus-P,JP,,,,,,,,,,,,,,,,,
Poltergeist,Circus-P,JP,,,,,,,,,,,,,,,,,
Different Seas,Circus-P,JP,,,,,,,,,,,,,,,,,
Fair Game,Circus-P,JP,,,,,,,,,,,,,,,,,
FATE,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (Frost Mix),Circus-P,JP,,,,,,,,,,,,,,,,,
Castaway,Circus-P,JP,,,,,,,,,,,,,,,,,
Warning Signs,Circus-P,JP,,,,,,,,,,,,,,,,,
Shatter (Feat. EmpathP),Circus-P,JP,,,,,,,,,,,,,,,,,
Afraid of Everything,Circus-P,JP,,,,,,,,,,,,,,,,,
Patches,Circus-P,JP,,,,,,,,,,,,,,,,,
Zombie,Circus-P,JP,,,,,,,,,,,,,,,,,
Circus Monster (Music Box),Circus-P,JP,,,,,,,,,,,,,,,,,
Ten Thousand Stars feat. 初音ミク,Circus-P,JP,,,,,,,,,,,,,,,,,
FRIGID HEARTS,Circus-P,JP,,,,,,,,,,,,,,,,,
CUPCAKE,Circus-P,JP,,,,,,,,,,,,,,,,,
Ten Thousand Stars,Circus-P,JP,,,,,,,,,,,,,,,,,
aiSeNMa (danny's remix),Circus-P,JP,,,,,,,,,,,,,,,,,
Our Belief,Circus-P,JP,,,,,,,,,,,,,,,,,
Glow (GHPZ remix),Circus-P,JP,,,,,,,,,,,,,,,,,
Emotionless,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (danny's remix),Circus-P,JP,,,,,,,,,,,,,,,,,
ポテト,Circus-P,JP,,,,,,,,,,,,,,,,,
Memory,Circus-P,JP,,,,,,,,,,,,,,,,,
Promise To You,Circus-P,JP,,,,,,,,,,,,,,,,,
Patches [bonus track] - vocaloid version,Circus-P,JP,,,,,,,,,,,,,,,,,
Selfish [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
You Are Mine [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Synthesized Love [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
リカバリー [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Lie (Piano Version),Circus-P,JP,,,,,,,,,,,,,,,,,
Repeat II [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Muffins [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Shatter feat. EmpathP [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
The World Tonight [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (frost mix) [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Like Whatever,Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉 (Feat. GUMI_Power),Circus-P,JP,,,,,,,,,,,,,,,,,
Déjà Vu,Circus-P,JP,,,,,,,,,,,,,,,,,
Spectrum,Circus-P,JP,,,,,,,,,,,,,,,,,
Shatter feat. EmpathP,Circus-P,JP,,,,,,,,,,,,,,,,,
Patches (Feat. Nostraightanswer),Circus-P,JP,,,,,,,,,,,,,,,,,
Dreaming with You,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY -Remastered-,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (aSYLuM ReMiX),Circus-P,JP,,,,,,,,,,,,,,,,,
Decay,Circus-P,JP,,,,,,,,,,,,,,,,,
Lovesongs,Circus-P,JP,,,,,,,,,,,,,,,,,
Electrified,Circus-P,JP,,,,,,,,,,,,,,,,,
Fool's Mate,Circus-P,JP,,,,,,,,,,,,,,,,,
Quicksand,Circus-P,JP,,,,,,,,,,,,,,,,,
Time,Circus-P,JP,,,,,,,,,,,,,,,,,
How to Break Up,Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉 [Karaoke],Circus-P,JP,,,,,,,,,,,,,,,,,
Castaway (nostraightanswer remix) [bonus track],Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉 [Instrumental],Circus-P,JP,,,,,,,,,,,,,,,,,
Just Deserts,Circus-P,JP,,,,,,,,,,,,,,,,,
FATE (feat. 巡音ルカ),Circus-P,JP,,,,,,,,,,,,,,,,,
甘い言葉 (Feat. GUMI_Power) [Extended Club Mix],Circus-P,JP,,,,,,,,,,,,,,,,,
Different Seas (EmpathP remix) [bonus track],Circus-P,JP,,,,,,,,,,,,,,,,,
Nothing I Can Do,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY -Inst Cho-,Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY -Inst-,Circus-P,JP,,,,,,,,,,,,,,,,,
Synthesized Love [vF],Circus-P,JP,,,,,,,,,,,,,,,,,
iNFeCTioN,Circus-P,JP,,,,,,,,,,,,,,,,,
HAYWIRE,Circus-P,JP,,,,,,,,,,,,,,,,,
CUPCAKE (feat. IA),Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (Feat.Kasane Teto),Circus-P,JP,,,,,,,,,,,,,,,,,
PROMISE TO YOU (feat. 巡音ルカ),Circus-P,JP,,,,,,,,,,,,,,,,,
Patches [bonus track] (vocaloid version),Circus-P,JP,,,,,,,,,,,,,,,,,
Someone New,Circus-P,JP,,,,,,,,,,,,,,,,,
aiSeNMa [vD],Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY (feat.SF-A2 miki&KAITO),Circus-P,JP,,,,,,,,,,,,,,,,,
Castaway [bonus track] (nostraightanswer remix),Circus-P,JP,,,,,,,,,,,,,,,,,
Breathe (with Dex),Circus-P,JP,,,,,,,,,,,,,,,,,
Different Seas [bonus track] (EmpathP remix),Circus-P,JP,,,,,,,,,,,,,,,,,
OUR BELIEF (feat. SF-A2開発コードmiki),Circus-P,JP,,,,,,,,,,,,,,,,,
Monochrome - Lystrialle Remix,Circus-P,JP,,,,,,,,,,,,,,,,,
Emotionless (feat. Avanna),Circus-P,JP,,,,,,,,,,,,,,,,,
FRIGID HEARTS (feat. Avanna),Circus-P,JP,,,,,,,,,,,,,,,,,
Shatter,Circus-P,JP,,,,,,,,,,,,,,,,,
WILDFIRE!!,Circus-P,JP,,,,,,,,,,,,,,,,,
Welcome to the Circus,Circus-P,JP,,,,,,,,,,,,,,,,,
Lovesongs - ODDEEO Remix,Circus-P,JP,,,,,,,,,,,,,,,,,
MEMORY (feat. Leon & Lola),Circus-P,JP,,,,,,,,,,,,,,,,,
Synthesized Love (Miku Version) [Bonus Track],Circus-P,JP,,,,,,,,,,,,,,,,,
Puzzle,Circus-P,JP,,,,,,,,,,,,,,,,,
"""Ai No Uta"" Miku",Circus-P,JP,,,,,,,,,,,,,,,,,
Lie [Piano version] (feat. 巡音ルカ),Circus-P,JP,,,,,,,,,,,,,,,,,
Beast,Circus-P,JP,,,,,,,,,,,,,,,,,
Goodbye (feat. Hatsune Miku)[BIGHEAD Remix],Circus-P,JP,,,,,,,,,,,,,,,,,
iNSaNiTY [Frost Mix] (English),Circus-P,JP,,,,,,,,,,,,,,,,,
ポテト (feat. IA),Circus-P,JP,,,,,,,,,,,,,,,,,
サーカス・モンスター [Music Box] (feat. KAITO),Circus-P,JP,,,,,,,,,,,,,,,,,
enough,Circus-P,JP,,,,,,,,,,,,,,,,,
anymore,Circus-P,JP,,,,,,,,,,,,,,,,,
Back to Summer,Circus-P,JP,,,,,,,,,,,,,,,,,
"Hatsune Miku ""Ten Thousand Stars""",Circus-P,JP,,,,,,,,,,,,,,,,,
