title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Sol,Alef,JP,,,,,,,,,,,,,,,,,
Luna,Alef,JP,,,,,,,,,,,,,,,,,
Alma,Alef,JP,,,,,,,,,,,,,,,,,
Atlas,Alef,JP,,,,,,,,,,,,,,,,,
Poiesis - 2018 Remastered,Alef,JP,,,,,,,,,,,,,,,,,
I'm Blue,Alef,JP,,,,,,,,,,,,,,,,,
Camino De Vuelta,Alef,JP,,,,,,,,,,,,,,,,,
Ask The Stars,Alef,JP,,,,,,,,,,,,,,,,,
Poiesis,Alef,JP,,,,,,,,,,,,,,,,,
Sol (Original Mix),Alef,JP,,,,,,,,,,,,,,,,,
Phantom-0,Alef,JP,,,,,,,,,,,,,,,,,
Sandstorm,Alef,JP,,,,,,,,,,,,,,,,,
Alef - Alcione,Alef,JP,,,,,,,,,,,,,,,,,
Sincro,Alef,JP,,,,,,,,,,,,,,,,,
Ningen,Alef,JP,,,,,,,,,,,,,,,,,
Sarariman Shine,Alef,JP,,,,,,,,,,,,,,,,,
Pachinko Breeze,Alef,JP,,,,,,,,,,,,,,,,,
Empty,Alef,JP,,,,,,,,,,,,,,,,,
Nanji Desu Ka,Alef,JP,,,,,,,,,,,,,,,,,
Quando il tempo si imbroglia,Alef,JP,,,,,,,,,,,,,,,,,
Tsubana,Alef,JP,,,,,,,,,,,,,,,,,
Wim Mertens,Alef,JP,,,,,,,,,,,,,,,,,
Leila,Alef,JP,,,,,,,,,,,,,,,,,
Touche Pas A Mon Pote!,Alef,JP,,,,,,,,,,,,,,,,,
Paramnesia,Alef,JP,,,,,,,,,,,,,,,,,
Rarewave,Alef,JP,,,,,,,,,,,,,,,,,
Alcione,Alef,JP,,,,,,,,,,,,,,,,,
The Butterflies in Purgatory,Alef,JP,,,,,,,,,,,,,,,,,
When I'm Crazy I'm Normal,Alef,JP,,,,,,,,,,,,,,,,,
You,Alef,JP,,,,,,,,,,,,,,,,,
End of Memories,Alef,JP,,,,,,,,,,,,,,,,,
Bachan No Tea Time,Alef,JP,,,,,,,,,,,,,,,,,
Stinger,Alef,JP,,,,,,,,,,,,,,,,,
O Teu Peito nunca foi chupado nunca foi mamado mais nasceu caído,Alef,JP,,,,,,,,,,,,,,,,,
Under Pink Skies,Alef,JP,,,,,,,,,,,,,,,,,
Colazione,Alef,JP,,,,,,,,,,,,,,,,,
Spaghet Sings Stressed Out,Alef,JP,,,,,,,,,,,,,,,,,
SOMEBODY TOUCHA MY SPAGHET - STRESSED OUT,Alef,JP,,,,,,,,,,,,,,,,,
In Memory of Robbie Rotten,Alef,JP,,,,,,,,,,,,,,,,,
Etra,Alef,JP,,,,,,,,,,,,,,,,,
Trumpet Boy Sings Blue,Alef,JP,,,,,,,,,,,,,,,,,
Alef - Sol,Alef,JP,,,,,,,,,,,,,,,,,
The Fifth Pluto,Alef,JP,,,,,,,,,,,,,,,,,
qUe cHiLLe,Alef,JP,,,,,,,,,,,,,,,,,
Sol Y Luna Vol. 3,Alef,JP,,,,,,,,,,,,,,,,,
Poiesis (2018 Remastered),Alef,JP,,,,,,,,,,,,,,,,,
Sbandati,Alef,JP,,,,,,,,,,,,,,,,,
Padoru Sings Faded,Alef,JP,,,,,,,,,,,,,,,,,
Nochzvonok,Alef,JP,,,,,,,,,,,,,,,,,
Hear (Chema Israel),Alef,JP,,,,,,,,,,,,,,,,,
Trippin',Alef,JP,,,,,,,,,,,,,,,,,
1h8u,Alef,JP,,,,,,,,,,,,,,,,,
Massaru - Nata,Alef,JP,,,,,,,,,,,,,,,,,
Solo,Alef,JP,,,,,,,,,,,,,,,,,
Blade Grimer 2049,Alef,JP,,,,,,,,,,,,,,,,,
CJ Sings Here We Go Again,Alef,JP,,,,,,,,,,,,,,,,,
Vhen (Ad Matai),Alef,JP,,,,,,,,,,,,,,,,,
szukanie,Alef,JP,,,,,,,,,,,,,,,,,
znajdowanie,Alef,JP,,,,,,,,,,,,,,,,,
Test psytrance track No.1,Alef,JP,,,,,,,,,,,,,,,,,
Camino De Vuelta (Original Mix),Alef,JP,,,,,,,,,,,,,,,,,
Exodus,Alef,JP,,,,,,,,,,,,,,,,,
Bāchan No Tea Party,Alef,JP,,,,,,,,,,,,,,,,,
Sol (Alex Banciu Remix),Alef,JP,,,,,,,,,,,,,,,,,
Ask The Stars (Original Mix),Alef,JP,,,,,,,,,,,,,,,,,
gubienie,Alef,JP,,,,,,,,,,,,,,,,,
Settembre,Alef,JP,,,,,,,,,,,,,,,,,
Xperience,Alef,JP,,,,,,,,,,,,,,,,,
I'm Blue (Trumpet Instrumental Version),Alef,JP,,,,,,,,,,,,,,,,,
Orny's Groove,Alef,JP,,,,,,,,,,,,,,,,,
Blue,Alef,JP,,,,,,,,,,,,,,,,,
Globglogabgalab Sings Chop Suey,Alef,JP,,,,,,,,,,,,,,,,,
Re Zero Sings What Is Love,Alef,JP,,,,,,,,,,,,,,,,,
Alef,Alef,JP,,,,,,,,,,,,,,,,,
Dimelo,Alef,JP,,,,,,,,,,,,,,,,,
GLOBGLOGABGALAB BUT WITH WRONG NOTES,Alef,JP,,,,,,,,,,,,,,,,,
Padoru Faded by The Ashes of WWIII,Alef,JP,,,,,,,,,,,,,,,,,
Sol Y Luna Vol. 2,Alef,JP,,,,,,,,,,,,,,,,,
Blue (Eiffel 65 Cover),Alef,JP,,,,,,,,,,,,,,,,,
Led Zeppelin - Misty Mountain Hop (HD),Alef,JP,,,,,,,,,,,,,,,,,
Я хочу с тобой просыпаться,Alef,JP,,,,,,,,,,,,,,,,,
TYPICAL UCA 30 YEAR OLD BOOMER MORNING,Alef,JP,,,,,,,,,,,,,,,,,
Elyaou,Alef,JP,,,,,,,,,,,,,,,,,
Eivør - Trøllabundin (Alef remix),Alef,JP,,,,,,,,,,,,,,,,,
Ice,Alef,JP,,,,,,,,,,,,,,,,,
Why,Alef,JP,,,,,,,,,,,,,,,,,
NOIS É OS CARA MAIS FALADO QUE A MININA SE AMARRA vs E O BONDE DA PIC4 COM MIRA LAZER,Alef,JP,,,,,,,,,,,,,,,,,
Settembre (Demo),Alef,JP,,,,,,,,,,,,,,,,,
Blues in 7,Alef,JP,,,,,,,,,,,,,,,,,
Nap Time,Alef,JP,,,,,,,,,,,,,,,,,
All Star Speedrun World Record,Alef,JP,,,,,,,,,,,,,,,,,
Padaushiy sneg,Alef,JP,,,,,,,,,,,,,,,,,
YA i ti,Alef,JP,,,,,,,,,,,,,,,,,
ogl¹danie,Alef,JP,,,,,,,,,,,,,,,,,
i'm blue(trumpet version),Alef,JP,,,,,,,,,,,,,,,,,
MC Paiva ZS- Destrava o Tambor (Web Clipe - DJ Autentico),Alef,JP,,,,,,,,,,,,,,,,,
Bu Yüzden,Alef,JP,,,,,,,,,,,,,,,,,
You Are My God (Kelf Atta),Alef,JP,,,,,,,,,,,,,,,,,
Pesach (Ma Nichetana),Alef,JP,,,,,,,,,,,,,,,,,
A Story (Epilogue),Alef,JP,,,,,,,,,,,,,,,,,
Luna (Original Mix),Alef,JP,,,,,,,,,,,,,,,,,
Basically Turnabout Big Top,Alef,JP,,,,,,,,,,,,,,,,,
Vesaire,Alef,JP,,,,,,,,,,,,,,,,,
Soul Connection,Alef,JP,,,,,,,,,,,,,,,,,
Baby Love Me,Alef,JP,,,,,,,,,,,,,,,,,
oglądanie,Alef,JP,,,,,,,,,,,,,,,,,
You Are My God (Kelf Atta),Alef,JP,,,,,,,,,,,,,,,,,
Intro,Alef,JP,,,,,,,,,,,,,,,,,
Instrumental v 8_01,Alef,JP,,,,,,,,,,,,,,,,,
Alma (original mix),Alef,JP,,,,,,,,,,,,,,,,,
nochecita,Alef,JP,,,,,,,,,,,,,,,,,
MC FELIPE BOLADÃO - RESIDÊNCIA DOS LOUCOS (remix versão plug) prod. JUNKYE,Alef,JP,,,,,,,,,,,,,,,,,
Pesach (Ma Nichetana),Alef,JP,,,,,,,,,,,,,,,,,
Sandstorm (Darude Cover),Alef,JP,,,,,,,,,,,,,,,,,
A Story (Epilogue),Alef,JP,,,,,,,,,,,,,,,,,
Mr Skeltal Sings Dead by Glamour,Alef,JP,,,,,,,,,,,,,,,,,
365RE - Mortal Slonik,Alef,JP,,,,,,,,,,,,,,,,,
MY SH!T !S BLVKK,Alef,JP,,,,,,,,,,,,,,,,,
V Dorogu,Alef,JP,,,,,,,,,,,,,,,,,
Arcadia,Alef,JP,,,,,,,,,,,,,,,,,
Journey of Feelings,Alef,JP,,,,,,,,,,,,,,,,,
ритм_вован-картофан,Alef,JP,,,,,,,,,,,,,,,,,
"MC VICK - FODE GOSTOSO COMIGO, MAS TEM QUE SER NO SIGILO",Alef,JP,,,,,,,,,,,,,,,,,
Cola i Led,Alef,JP,,,,,,,,,,,,,,,,,
‎Sol,Alef,JP,,,,,,,,,,,,,,,,,
Shame (Alef Edit),Alef,JP,,,,,,,,,,,,,,,,,
Despacio,Alef,JP,,,,,,,,,,,,,,,,,
Marciac,Alef,JP,,,,,,,,,,,,,,,,,
In Dust,Alef,JP,,,,,,,,,,,,,,,,,
Isadora,Alef,JP,,,,,,,,,,,,,,,,,
Ride My Tide,Alef,JP,,,,,,,,,,,,,,,,,
GMG Battle. Producers II (Отборочный),Alef,JP,,,,,,,,,,,,,,,,,
Encadenado,Alef,JP,,,,,,,,,,,,,,,,,
Drive On,Alef,JP,,,,,,,,,,,,,,,,,
D T A Y S D,Alef,JP,,,,,,,,,,,,,,,,,
NON,Alef,JP,,,,,,,,,,,,,,,,,
Two Two Eight Incident,Alef,JP,,,,,,,,,,,,,,,,,
MTG - O DA BALINHA É SAFADO,Alef,JP,,,,,,,,,,,,,,,,,
HOJE EU QUERO PERERECA NO MORRO DO SAPO🐸,Alef,JP,,,,,,,,,,,,,,,,,
LA FURIA - RED BULL CE TINHA,Alef,JP,,,,,,,,,,,,,,,,,
VEM CA BASE,Alef,JP,,,,,,,,,,,,,,,,,
Cuando la Luna brilla,Alef,JP,,,,,,,,,,,,,,,,,
Led Zeppelin - Dancing Days (HD),Alef,JP,,,,,,,,,,,,,,,,,
He Is Our God (Hou Elokenou),Alef,JP,,,,,,,,,,,,,,,,,
Time Remembered,Alef,JP,,,,,,,,,,,,,,,,,
The Rites,Alef,JP,,,,,,,,,,,,,,,,,
Number One,Alef,JP,,,,,,,,,,,,,,,,,
Reign Forever (Imlorh'),Alef,JP,,,,,,,,,,,,,,,,,
We Want Massiah Now,Alef,JP,,,,,,,,,,,,,,,,,
Lord of the Universe (Adone Olam),Alef,JP,,,,,,,,,,,,,,,,,
Mr Skeltal Sings Death by Glamour (Undertale),Alef,JP,,,,,,,,,,,,,,,,,
SANDSTORM (BONGO CAT FULL VERSION),Alef,JP,,,,,,,,,,,,,,,,,
We Want Massiah Now,Alef,JP,,,,,,,,,,,,,,,,,
Lord of the Universe (Adone Olam),Alef,JP,,,,,,,,,,,,,,,,,
| F A C E $ I T T I N G | D O G |,Alef,JP,,,,,,,,,,,,,,,,,
Cheburashka 8-bit,Alef,JP,,,,,,,,,,,,,,,,,
Come My Beloved (Lerha Dodi),Alef,JP,,,,,,,,,,,,,,,,,
