title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Sea of Stars,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Lonely City,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
You Don't Know,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Across the Universe,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Spell Left Unspoken,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Tabi My Own Road,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Bara No Hana,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
旅～My Own Road～,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
ばらの花,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
I'm Yours,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
?? ?? ?? (Replay) ENGLISH COVER,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
누난 너무 예뻐 (Replay) English Version,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Sky High,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Replay (English Cover),AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Hizashi,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
누난 너무 예뻐 (Replay) ENGLISH COVER,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Bara No Hana ばらの花,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Halfway,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Replay (English version),AozoraFantasii,JP,,,,,,,,,,,,,,,,,
You Make Me Smile,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Rainy,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
雨上がり,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
All of Me,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
I’m Yours,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Replay,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
旅 ～My Own Road～,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Dandelion Wish,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Replay (english ver.),AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Fireflies,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Goodbye Song,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Hello (english ver.),AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Lonley city,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Sea_of_Stars,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
Sunshine in the Rain,AozoraFantasii,JP,,,,,,,,,,,,,,,,,
