title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
"Hasta Siempre, Comandante",Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Y En Llego Fidel,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
De Cuba traigo un cantar,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Todo Por La Reforma Agraria,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Hasta siempre,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Soy del Pueblo,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Y tu que has hecho,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
duro con el,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
En el Tiempo de la Colonia - Remastered,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
La Caimanera,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Que Allegron,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Y en Eso Llegó Fidel,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Y EN ESO LLEGO FIDEL,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
David Y Goliath,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
La mujer,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Comite De Defensa,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Canto por todos los muertos,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Todos Los Caminos,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Cuba No Es Sola,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Traigo de Cuba un Cantar,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Hasta Siempre (Cuba),Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Canto A Camilo,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
La Cuarantana,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Cuba Va,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
Paz Con Dignidad,Carlos Puebla Y Sus Tradicionales,Latin,,,,,,,,,,,,,,,,,
