title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Azul,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Por Amarte Así,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Lloviendo Estrellas,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Mi Vida Sin Tu Amor,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
No Podras,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Volver a Amar,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Lloran las rosas,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Nunca Voy A Olvidarte,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
No Podrás,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Por Amarte Asi,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
No Hace Falta,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Yo quería,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Te Buscaría,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Lo Mejor De Mi,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Es mejor así,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Una Canción Para Ti,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Ángel,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Amor Eterno,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Vuélveme A Querer,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Alguna Vez,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Qué me van a hablar de amor,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Tu Vida Con La Mía,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Si Tu Me Amaras,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Despues De Ti...Que?,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Vuelveme a querer,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Te buscaria,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Atrévete,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Sin Tu Amor,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
Mañana,Cristian Castro,Latin,,,,,,,,,,,,,,,,,
