title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Malaguena Salerosa,Chingon,Latin,,,,,,,,,,,,,,,,,
Malagueña Salerosa,Chingon,Latin,,,,,,,,,,,,,,,,,
Cherry's Dance of Death,Chingon,Latin,,,,,,,,,,,,,,,,,
Alacran y Pistolero,Chingon,Latin,,,,,,,,,,,,,,,,,
Severina,Chingon,Latin,,,,,,,,,,,,,,,,,
Cuka Rocka,Chingon,Latin,,,,,,,,,,,,,,,,,
Siente Mi Amor,Chingon,Latin,,,,,,,,,,,,,,,,,
Fideo Del Oeste,Chingon,Latin,,,,,,,,,,,,,,,,,
El Rey De Los Chingones,Chingon,Latin,,,,,,,,,,,,,,,,,
Mexican Sausage Link,Chingon,Latin,,,,,,,,,,,,,,,,,
Cielito Lindo,Chingon,Latin,,,,,,,,,,,,,,,,,
Intro,Chingon,Latin,,,,,,,,,,,,,,,,,
Se Me Paro,Chingon,Latin,,,,,,,,,,,,,,,,,
En Califas,Chingon,Latin,,,,,,,,,,,,,,,,,
Bajo Sexto (Six Below),Chingon,Latin,,,,,,,,,,,,,,,,,
Cuka Rocka (Extended),Chingon,Latin,,,,,,,,,,,,,,,,,
Malaguena,Chingon,Latin,,,,,,,,,,,,,,,,,
Se Me Paró,Chingon,Latin,,,,,,,,,,,,,,,,,
Cascabel,Chingon,Latin,,,,,,,,,,,,,,,,,
Soy Sexy,Chingon,Latin,,,,,,,,,,,,,,,,,
Baila Mujer,Chingon,Latin,,,,,,,,,,,,,,,,,
Bajo Sexto,Chingon,Latin,,,,,,,,,,,,,,,,,
Villa,Chingon,Latin,,,,,,,,,,,,,,,,,
When the Shit Gets Real,Chingon,Latin,,,,,,,,,,,,,,,,,
Love The Way,Chingon,Latin,,,,,,,,,,,,,,,,,
So sexy,Chingon,Latin,,,,,,,,,,,,,,,,,
Mexicans Storming,Chingon,Latin,,,,,,,,,,,,,,,,,
Yego Don Chingon,Chingon,Latin,,,,,,,,,,,,,,,,,
Malagueña Salerosa (La Malagueña),Chingon,Latin,,,,,,,,,,,,,,,,,
Malaguena Salerosa (Album),Chingon,Latin,,,,,,,,,,,,,,,,,
California Breeze,Chingon,Latin,,,,,,,,,,,,,,,,,
Malagueńa Salerosa,Chingon,Latin,,,,,,,,,,,,,,,,,
Fideo Del Oeste (Mexican Spaghetti Western),Chingon,Latin,,,,,,,,,,,,,,,,,
5.  Alacran y Pistolero,Chingon,Latin,,,,,,,,,,,,,,,,,
Malaguena Salerosa (La Malaguena),Chingon,Latin,,,,,,,,,,,,,,,,,
Get Back,Chingon,Latin,,,,,,,,,,,,,,,,,
Cascabel (Bonus Track),Chingon,Latin,,,,,,,,,,,,,,,,,
1. Se Me Paro,Chingon,Latin,,,,,,,,,,,,,,,,,
Alacrán Y Pistolero,Chingon,Latin,,,,,,,,,,,,,,,,,
6. Bajo Sexto,Chingon,Latin,,,,,,,,,,,,,,,,,
3. Chingon - Fideo Del Oeste,Chingon,Latin,,,,,,,,,,,,,,,,,
4. Severina,Chingon,Latin,,,,,,,,,,,,,,,,,
9. Siente Mi Amor,Chingon,Latin,,,,,,,,,,,,,,,,,
8. Mexican Sausage Link,Chingon,Latin,,,,,,,,,,,,,,,,,
7. El Rey De Los Chingones,Chingon,Latin,,,,,,,,,,,,,,,,,
Se Me Para,Chingon,Latin,,,,,,,,,,,,,,,,,
10. Cuka Rocka,Chingon,Latin,,,,,,,,,,,,,,,,,
Fideo Del Oeste (Album),Chingon,Latin,,,,,,,,,,,,,,,,,
Kill-A-Man,Chingon,Latin,,,,,,,,,,,,,,,,,
Grindhouse Theme (Chingonized),Chingon,Latin,,,,,,,,,,,,,,,,,
Till the End,Chingon,Latin,,,,,,,,,,,,,,,,,
1-800-Hitman (Bonus Track),Chingon,Latin,,,,,,,,,,,,,,,,,
Cuka Rocka (Extended) (Album),Chingon,Latin,,,,,,,,,,,,,,,,,
Fideo Del Oeste (Mexican Speghetti Western),Chingon,Latin,,,,,,,,,,,,,,,,,
Se Me Paro (Album),Chingon,Latin,,,,,,,,,,,,,,,,,
"Surprize, Surprize",Chingon,Latin,,,,,,,,,,,,,,,,,
Sin City Theme (Chingonized),Chingon,Latin,,,,,,,,,,,,,,,,,
El Rey de los Chingones (Album),Chingon,Latin,,,,,,,,,,,,,,,,,
Baja Sexto (Six Below),Chingon,Latin,,,,,,,,,,,,,,,,,
El Rey,Chingon,Latin,,,,,,,,,,,,,,,,,
