title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
ケダモノのフレンズ,Nishina,JP,https://www.youtube.com/watch?v=vVI9UqyxRdQ,,,2342047.0,39955.0,,,,,,,,,,,,
ヘビースモーク,Nishina,JP,https://www.youtube.com/watch?v=uidm-GLH9Co,,,5885503.0,73341.0,,,,,,,,,,,,
U+,Nishina,JP,https://www.youtube.com/watch?v=BI9BAZfCaNc,https://open.spotify.com/track/1eWE9MBcX8cqYPXhdf2d38,,1302007.0,25446.0,,,,,,,,,,,,
アイニコイ,Nishina,JP,,,,,,,,,,,,,,,,,
東京マーブル,Nishina,JP,,,,,,,,,,,,,,,,,
青藍遊泳,Nishina,JP,,,,,,,,,,,,,,,,,
透明な黒と鉄分のある赤,Nishina,JP,,,,,,,,,,,,,,,,,
スローモーション,Nishina,JP,,,,,,,,,,,,,,,,,
春一番,Nishina,JP,,,,,,,,,,,,,,,,,
FRIDAY KIDS CHINA TOWN,Nishina,JP,,,,,,,,,,,,,,,,,
centi,Nishina,JP,,,,,,,,,,,,,,,,,
ランデブー,Nishina,JP,,,,,,,,,,,,,,,,,
夜間飛行,Nishina,JP,,,,,,,,,,,,,,,,,
夜になって,Nishina,JP,,,,,,,,,,,,,,,,,
真白,Nishina,JP,,,,,,,,,,,,,,,,,
シュガースポット,Nishina,JP,,,,,,,,,,,,,,,,,
debbie,Nishina,JP,,,,,,,,,,,,,,,,,
ダーリン,Nishina,JP,https://www.youtube.com/watch?v=dbLARf2asG0,https://open.spotify.com/track/2VLRgHoJlks958XLoLBdDM,,1755662.0,21968.0,,,,,,,,,,,,
1999,Nishina,JP,,,,,,,,,,,,,,,,,
ホットミルク,Nishina,JP,https://www.youtube.com/watch?v=zDKY3yeTow4,,,277430.0,5085.0,,,,,,,,,,,,
秘密基地,Nishina,JP,,,,,,,,,,,,,,,,,
クランベリージャムをかけて,Nishina,JP,,,,,,,,,,,,,,,,,
青藍遊泳 - From THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
ワンルーム,Nishina,JP,,,,,,,,,,,,,,,,,
ヘビースモーク - From THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
桃源郷,Nishina,JP,,,,,,,,,,,,,,,,,
heavy smoke,Nishina,JP,,,,,,,,,,,,,,,,,
モモ,Nishina,JP,,,,,,,,,,,,,,,,,
kedamono no friends,Nishina,JP,,,,,,,,,,,,,,,,,
Tokyo Marble,Nishina,JP,,,,,,,,,,,,,,,,,
seiran yuei,Nishina,JP,,,,,,,,,,,,,,,,,
Slow motion,Nishina,JP,,,,,,,,,,,,,,,,,
masshiro,Nishina,JP,,,,,,,,,,,,,,,,,
rendezvous,Nishina,JP,,,,,,,,,,,,,,,,,
yoruninatte,Nishina,JP,,,,,,,,,,,,,,,,,
darling,Nishina,JP,,,,,,,,,,,,,,,,,
yakanhikou,Nishina,JP,,,,,,,,,,,,,,,,,
ainikoi,Nishina,JP,,,,,,,,,,,,,,,,,
with cranberry jam,Nishina,JP,,,,,,,,,,,,,,,,,
himitsukichi,Nishina,JP,,,,,,,,,,,,,,,,,
toumeinakuro to tetsubunnoaruaka,Nishina,JP,,,,,,,,,,,,,,,,,
haruichiban,Nishina,JP,,,,,,,,,,,,,,,,,
one room,Nishina,JP,,,,,,,,,,,,,,,,,
tougenkyou,Nishina,JP,,,,,,,,,,,,,,,,,
Hot milk,Nishina,JP,,,,,,,,,,,,,,,,,
Heavy Smoke - GeG Remix,Nishina,JP,,,,,,,,,,,,,,,,,
momo,Nishina,JP,,,,,,,,,,,,,,,,,
heavy smoke - From THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
seiran yuei - From THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
Sugar Spot,Nishina,JP,,,,,,,,,,,,,,,,,
Heavy smoke / THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
When Night Comes,Nishina,JP,,,,,,,,,,,,,,,,,
ヘビースモーク - GeG Remix,Nishina,JP,,,,,,,,,,,,,,,,,
Further-Closer,Nishina,JP,,,,,,,,,,,,,,,,,
seiran yuei (From THE FIRST TAKE),Nishina,JP,,,,,,,,,,,,,,,,,
Ao Ai Yuei,Nishina,JP,,,,,,,,,,,,,,,,,
toumeinakuro to tetsubunnoaruaka (feat. Kujira),Nishina,JP,,,,,,,,,,,,,,,,,
Further Closer,Nishina,JP,,,,,,,,,,,,,,,,,
Further - Closer,Nishina,JP,,,,,,,,,,,,,,,,,
Nishina - Further Closer,Nishina,JP,,,,,,,,,,,,,,,,,
Heavy Smoke (GeG Remix),Nishina,JP,,,,,,,,,,,,,,,,,
seiran yuei / THE FIRST TAKE,Nishina,JP,,,,,,,,,,,,,,,,,
にしな,Nishina,JP,,,,,,,,,,,,,,,,,
kedamono friends,Nishina,JP,,,,,,,,,,,,,,,,,
Cranberry Jam wo Kakete,Nishina,JP,,,,,,,,,,,,,,,,,
Heavy Smoke (The First Take),Nishina,JP,,,,,,,,,,,,,,,,,
seiran yuei (THE FIRST TAKE),Nishina,JP,,,,,,,,,,,,,,,,,
é€æ˜Žãªé»’ã¨é‰„åˆ†ã®ã‚ã‚‹èµ¤,Nishina,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ja Ja Uma Ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me A Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lay-Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
jaja uma ni sasenai de (Ranma 1/2 Theme Song Collection),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me Wild Like You,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma Opening,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy (Ranma 1/2 Theme Song Collection),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jaja Uma Ni Sasenai De,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy (Don't Mind Lai-Lai Boy),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jaja Uma ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lai-Lai Boy",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't mind Lay Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai Lai Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yappapa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni sasenaide (Don't make me a shrew),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (Don't Make Me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don Mai Lailai Shounen,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ja Ja Uma Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
jaja uma ni sasenai de (Ranma 1/2 OST),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind! Lay-Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
don't mind lay-lay-boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1-2 -  Jajauma ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy (Ranma 1/2 OST),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lay-Lay Boy",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
じゃじゃ馬にさせないで,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me a Shrew (Jajauma ni Sasenaide),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Panic,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Little date,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yappa pa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ya pa pa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide [Don't Make Me a Shrew],Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lay-Lay (China) Boy",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Hen-na Koi,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide - Don't Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ja Ja Uma Ni Sasenaide (Don't Make Me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Happy End ni Nemurenai,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Neko Hanten Menu Song,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Mou Nakanaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma opening 1,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lay Lay Boy - Ranma 1/2,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
YaPaPa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma - Akane's baka song,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Omoide ga Ippai,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma Opening Theme,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Y.Don't Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
ド・ン・マ・イ来々少年,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide; Don't Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Heart Nibun no Naisho,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jaja Uma ni Sasenaide (Don't Make Me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Greetings From China,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
jaja uma ni sasenai de (Ranma 1 2 Theme Song Collection),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
じゃじゃ馬にさせないで 「Ja Ja Uma ni Sasenaide」,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Present (Ending 5º),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind China Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind ! Lay-Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Equal Romance,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Opening,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yappa Paa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Puratonikku Tsuranuite,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
A Blushing Example of Japanese Womanhood,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Kuno's Counterattack,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma Ni Sasenaide - Don't Make Me Wild Like You (Ranma 1/2),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma Wa Sasenaide - Ranma 1/2,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy (Ranma 12 OST),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide – Ranma ½  – OP1 (1989),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Shudaikashu,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma ½ - Opening 1,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me a Shrew [OP01],Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (1st Opening),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Baka Song,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Like A Shrew (Ranma 1/2 Opening ~Season 1~),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Tatewaki Kuno, Age 17 / Now Do You Get It!?",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 - Jajauma ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai Lai Boy (3rd Ending),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Twisted Sister / Concerto in Black Rose,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yapapa da sasenai,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don´t Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me Go Wild Like You,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yappapa (Jajauma ni Sasenaide),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajama ni Sasenaide (Ranma 1/2),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Wild Like You,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Positive (Extended Version),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajama ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ja Ja Uma Sasenaide (Don't Make Me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
O Jusenkyo,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 ending theme,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Mou Nakanaide (Ranma 1/2 Soundtracks - Intro 6),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Dont Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't make me a shrew (Ranma Opening),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Do-N-Ma-I Rai Rai Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma Lambada,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Little date (2º opening),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide(Don't Make Me a Shrew),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ja Ja Uma ni Sasanaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
don´t mind Lay-Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (Ranma 1/2 Soundtracks - Intro 1),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (Ranma 1/2 Soundtracks - Intro 1),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
jaja umade ni sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
01 Don't Make Me A Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Kagayaku Sora to Kimi no Koe/A Glittering Sky and Your Voice,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don�t Make Me a Shrew,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Omoide ga Ippai/Full of Memories,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 1st opening theme (1989) - Jajauma ni sasenaide (Don't make me a shrew),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Shudaikashu OP1,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jaja Uma ni Sasenai de (Don’t Make Me a Shrew),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"kawaikunee iroke ga nee/You Ain't Cute, You've Got No Appeal",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yapapa ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Rambada Ranma (Lambada Ranma),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
November Rain,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Hen na Koi,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Dragon Ball Z,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
The Ballad of Ranma and Akane (Ranma-kun & Akane),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me Wild Like You (Ranma 1/2),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 theme song,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Panic!,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Kagayaku Sora to Kimi no Koe,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Lambada Ranma,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lay-Lay Boy (Akane)",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Letter Written in Okonomiyaki (Ukyou),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind (China Boy),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Panda Hopscotch - Down Home Country Goodness,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Koi da! PANIKKU,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide -Para Para Mix-,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
ド・ン・マ・イ来々少年〜Don't mind lay-lay-Boy〜,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
ハッピーエンドに眠れない,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lay-Lay Boy",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Wistful -What If-s - It Could Have Been,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Neko Hanten,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Can't You See Where I'm Coming From-,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide | Ranma 1/2,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don’t mind Lay-Lay Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasanaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Me!? Marry That Pervert!? / Life as Usual,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Here's Ranma! / You'd Better Let Me Handle This,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma Ni Sunaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
You Don't Love Me Back,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love! Panic!,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jaja Uma ni Sasenaide(Don't Make me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Cry Anymore (Ranma-chan),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Yapappa,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Kunou Is Coming Around (Nabiki),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
The Ninja Song (Sasuke),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
dont mind lay-lay boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
The Housework Song (Kasumi),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma Opening Shudaikashu,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Panic (JP),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Panic (JP),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
JaJauma Ni Sasenaide - Japones · Full,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (Ranma 1/2 OP),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Olvida la amargura,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ya Pa Pa- Jajauma ni Sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
lailai boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 (Jajauma Ni Sasenaide),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajanami sasanaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't mind lay-lay Boy (Don't mind after-next boy),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Animenfo Radio 2 (),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"""Don't Make Me A Shrew""",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Positive,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
In the Throes of Combat - It All Comes Down to This,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Omoide Ga Ippai (Full Of Memories),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Friends,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma Ni Sasenaide ~Yappa Paa~,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (ver. 2),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Zettai! Part 2,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Present - Ryouga,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma ½ Opening,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Here's Ranma,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Okay Is Not The Word,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't make me a shrew (Open),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Tatewaki Kuno Age 17,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma Ni Sasenaide(Don't Make Me Wild Like You),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma Ven Amor,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide – Ranma ½  – OP1,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai-Lai Boy (Ranma 1 2 Theme Song Collection),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1-2 (opening),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajaumi sasanaide Shampoo,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Now Do You Get It,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lai Lai Boy – Ranma ½ – ED3,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Here Comes a New Challenger,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Omoide ga Ippai (3rd Op),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Don't Mind, Lay-Lay Boy / Don't Mind, China Boy",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
01_-_jajauma_ni_sasenaide,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"""じゃじゃ馬にさせないで",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Owaranai Natsuyasumi/Never Ending Summer Vacation,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide / Don't Make Me Wild Like You,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ranma 1/2 Opening,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Okonomiyaki ni kaita RABU RETTA/Love Letter Written on Okonomiyaki,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Right, P-chan? (Akane)",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Seeker Can't Stop It,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Tatewaki Kuno, Age 17",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Make Me Wild Like You (Don't Make Me A Shrew),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Song of the Theme Song Girls (DoCo),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
His n Her Suffering,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lay-Lay (China) Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ballad Of Ranma And Akane,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Song of the Theme Song Girls (DoCo),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
His n Her Suffering,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Don't Mind Lay-Lay (China) Boy,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Jajauma ni Sasenaide (Ranma 1/2),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Ballad Of Ranma And Akane,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Platonic Tsuranuite,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
A Glittering Sky and Your Voice,Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
Love Panic (jap),Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
"Jajauma Ni Sasenaide - ""Don't Make Me A Shrew""",Nishio Etsuko,JP,,,,,,,,,,,,,,,,,
